,,,"Middlesex, County [Census division], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Population and dwellings","Population; 2016",1,  455526,,,...,,...,13448494,,,...,,...
"Population and dwellings","Population; 2011",1,  439151,,,...,,...,12851821,,,...,,...
"Population and dwellings","Population percentage change; 2011 to 2016",,      3.7,,,...,,...,      4.6,,,...,,...
"Population and dwellings","Total private dwellings",2,  203349,,,...,,..., 5598391,,,...,,...
"Population and dwellings","Private dwellings occupied by usual residents",3,  190045,,,...,,..., 5169174,,,...,,...
"Population and dwellings","Population density per square kilometre",,  137.3,,,...,,...,   14.8,,,...,,...
"Population and dwellings","Land area in square kilometres",,   3317.27,,,...,,..., 908699.33,,,...,,...
"Age characteristics","Total - Age groups and average age of the population - 100% data",4,  455525,,  221230,,  234295,,13448495,, 6559390,, 6889105,
"Age characteristics","  0 to 14 years",,   74840,,   38190,,   36650,, 2207970,, 1131615,, 1076350,
"Age characteristics","    0 to 4 years",,   24180,,   12415,,   11765,,  697360,,  357300,,  340055,
"Age characteristics","    5 to 9 years",,   25745,,   13160,,   12590,,  756085,,  387320,,  368765,
"Age characteristics","    10 to 14 years",,   24910,,   12615,,   12295,,  754530,,  387000,,  367530,
"Age characteristics","  15 to 64 years",,  303940,,  149230,,  154710,, 8988865,, 4412115,, 4576750,
"Age characteristics","    15 to 19 years",,   27295,,   13870,,   13420,,  811670,,  416730,,  394945,
"Age characteristics","    20 to 24 years",,   34370,,   17430,,   16940,,  894390,,  457815,,  436570,
"Age characteristics","    25 to 29 years",,   31775,,   15915,,   15865,,  874350,,  436345,,  438010,
"Age characteristics","    30 to 34 years",,   29815,,   14605,,   15215,,  864765,,  420800,,  443965,
"Age characteristics","    35 to 39 years",,   27805,,   13585,,   14225,,  842485,,  402900,,  439585,
"Age characteristics","    40 to 44 years",,   27575,,   13430,,   14145,,  871875,,  418465,,  453415,
