,,,"Ottawa, Census division [Census division], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Population and dwellings","Population; 2016",1,  934243,,,...,,...,13448494,,,...,,...
"Population and dwellings","Population; 2011",1,  883391,,,...,,...,12851821,,,...,,...
"Population and dwellings","Population percentage change; 2011 to 2016",,      5.8,,,...,,...,      4.6,,,...,,...
"Population and dwellings","Total private dwellings",2,  395985,,,...,,..., 5598391,,,...,,...
"Population and dwellings","Private dwellings occupied by usual residents",3,  373756,,,...,,..., 5169174,,,...,,...
"Population and dwellings","Population density per square kilometre",,  334.8,,,...,,...,   14.8,,,...,,...
"Population and dwellings","Land area in square kilometres",,   2790.30,,,...,,..., 908699.33,,,...,,...
"Age characteristics","Total - Age groups and average age of the population - 100% data",4,  934245,,  453875,,  480370,,13448495,, 6559390,, 6889105,
"Age characteristics","  0 to 14 years",,  155680,,   79185,,   76495,, 2207970,, 1131615,, 1076350,
"Age characteristics","    0 to 4 years",,   48870,,   24800,,   24065,,  697360,,  357300,,  340055,
"Age characteristics","    5 to 9 years",,   53715,,   27365,,   26350,,  756085,,  387320,,  368765,
"Age characteristics","    10 to 14 years",,   53095,,   27020,,   26075,,  754530,,  387000,,  367530,
"Age characteristics","  15 to 64 years",,  634425,,  310385,,  324035,, 8988865,, 4412115,, 4576750,
"Age characteristics","    15 to 19 years",,   57190,,   28990,,   28200,,  811670,,  416730,,  394945,
"Age characteristics","    20 to 24 years",,   68650,,   34575,,   34075,,  894390,,  457815,,  436570,
"Age characteristics","    25 to 29 years",,   63695,,   31675,,   32025,,  874350,,  436345,,  438010,
"Age characteristics","    30 to 34 years",,   61670,,   30110,,   31565,,  864765,,  420800,,  443965,
"Age characteristics","    35 to 39 years",,   59575,,   28325,,   31245,,  842485,,  402900,,  439585,
"Age characteristics","    40 to 44 years",,   62710,,   29880,,   32830,,  871875,,  418465,,  453415,
"Age characteristics","    45 to 49 years",,   65960,,   31980,,   33980,,  937385,,  453105,,  484275,
"Age characteristics","    50 to 54 years",,   73210,,   36005,,   37210,, 1056345,,  517170,,  539175,
"Age characteristics","    55 to 59 years",,   66765,,   32370,,   34395,,  989460,,  482280,,  507180,
"Age characteristics","    60 to 64 years",,   54990,,   26480,,   28510,,  846145,,  406505,,  439640,
"Age characteristics","  65 years and over",,  144140,,   64300,,   79840,, 2251655,, 1015655,, 1236000,
"Age characteristics","    65 to 69 years",,   48130,,   22870,,   25265,,  737745,,  352475,,  385270,
"Age characteristics","    70 to 74 years",,   33875,,   15795,,   18080,,  528645,,  250455,,  278185,
"Age characteristics","    75 to 79 years",,   24600,,   11135,,   13460,,  393010,,  179810,,  213195,
"Age characteristics","    80 to 84 years",,   17950,,    7765,,   10185,,  291185,,  126825,,  164360,
"Age characteristics","    85 years and over",,   19580,,    6740,,   12845,,  301075,,  106090,,  194985,
"Age characteristics","      85 to 89 years",,   11720,,    4475,,    7245,,  188470,,   73045,,  115425,
"Age characteristics","      90 to 94 years",,    5995,,    1845,,    4145,,   88390,,   27400,,   60990,
"Age characteristics","      95 to 99 years",,    1640,,     385,,    1255,,   21210,,    5150,,   16060,
"Age characteristics","      100 years and over",,     230,,      30,,     195,,    3005,,     495,,    2520,
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,
"Age characteristics","  0 to 14 years",,   16.7,,   17.4,,   15.9,,   16.4,,   17.3,,   15.6,
"Age characteristics","  15 to 64 years",,   67.9,,   68.4,,   67.5,,   66.8,,   67.3,,   66.4,
"Age characteristics","  65 years and over",,   15.4,,   14.2,,   16.6,,   16.7,,   15.5,,   17.9,
"Age characteristics","    85 years and over",,    2.1,,    1.5,,    2.7,,    2.2,,    1.6,,    2.8,
"Age characteristics","Average age of the population",,   40.1,,   39.2,,   41.0,,   41.0,,   40.0,,   41.9,
"Age characteristics","Median age of the population",,   40.1,,   39.0,,   41.0,,   41.3,,   40.2,,   42.4,
