,,,"Peel, Regional municipality [Census division], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Population and dwellings","Population; 2016",1, 1381739,,,...,,...,13448494,,,...,,...
"Population and dwellings","Population; 2011",1, 1296809,r,,...,,...,12851821,,,...,,...
"Population and dwellings","Population percentage change; 2011 to 2016",,      6.5,,,...,,...,      4.6,,,...,,...
"Population and dwellings","Total private dwellings",2,  443918,,,...,,..., 5598391,,,...,,...
"Population and dwellings","Private dwellings occupied by usual residents",3,  430180,,,...,,..., 5169174,,,...,,...
"Population and dwellings","Population density per square kilometre",, 1108.1,,,...,,...,   14.8,,,...,,...
"Population and dwellings","Land area in square kilometres",,   1246.95,,,...,,..., 908699.33,,,...,,...
"Age characteristics","Total - Age groups and average age of the population - 100% data",4, 1381740,,  678700,,  703040,,13448495,, 6559390,, 6889105,
"Age characteristics","  0 to 14 years",,  253525,,  130595,,  122930,, 2207970,, 1131615,, 1076350,
"Age characteristics","    0 to 4 years",,   76315,,   39040,,   37275,,  697360,,  357300,,  340055,
"Age characteristics","    5 to 9 years",,   87260,,   44865,,   42400,,  756085,,  387320,,  368765,
"Age characteristics","    10 to 14 years",,   89945,,   46690,,   43260,,  754530,,  387000,,  367530,
"Age characteristics","  15 to 64 years",,  951395,,  466930,,  484470,, 8988865,, 4412115,, 4576750,
"Age characteristics","    15 to 19 years",,   97155,,   50810,,   46340,,  811670,,  416730,,  394945,
"Age characteristics","    20 to 24 years",,  100655,,   52375,,   48280,,  894390,,  457815,,  436570,
"Age characteristics","    25 to 29 years",,   90540,,   45250,,   45295,,  874350,,  436345,,  438010,
"Age characteristics","    30 to 34 years",,   91240,,   43370,,   47870,,  864765,,  420800,,  443965,
"Age characteristics","    35 to 39 years",,   93395,,   43135,,   50260,,  842485,,  402900,,  439585,
"Age characteristics","    40 to 44 years",,   96990,,   45595,,   51395,,  871875,,  418465,,  453415,
