,,,"Chatham-Kent, Census division [Census division], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Population and dwellings","Population; 2016",1,  102042,,,...,,...,13448494,,,...,,...
"Population and dwellings","Population; 2011",1,  104075,,,...,,...,12851821,,,...,,...
"Population and dwellings","Population percentage change; 2011 to 2016",,     -2.0,,,...,,...,      4.6,,,...,,...
"Population and dwellings","Total private dwellings",2,   46287,,,...,,..., 5598391,,,...,,...
"Population and dwellings","Private dwellings occupied by usual residents",3,   43174,,,...,,..., 5169174,,,...,,...
"Population and dwellings","Population density per square kilometre",,   41.3,,,...,,...,   14.8,,,...,,...
"Population and dwellings","Land area in square kilometres",,   2470.52,,,...,,..., 908699.33,,,...,,...
"Age characteristics","Total - Age groups and average age of the population - 100% data",4,  102040,,   49750,,   52295,,13448495,, 6559390,, 6889105,
"Age characteristics","  0 to 14 years",,   16740,,    8595,,    8140,, 2207970,, 1131615,, 1076350,
"Age characteristics","    0 to 4 years",,    5270,,    2750,,    2525,,  697360,,  357300,,  340055,
"Age characteristics","    5 to 9 years",,    5675,,    2850,,    2825,,  756085,,  387320,,  368765,
"Age characteristics","    10 to 14 years",,    5785,,    2990,,    2790,,  754530,,  387000,,  367530,
"Age characteristics","  15 to 64 years",,   63850,,   31495,,   32355,, 8988865,, 4412115,, 4576750,
"Age characteristics","    15 to 19 years",,    6115,,    3080,,    3035,,  811670,,  416730,,  394945,
"Age characteristics","    20 to 24 years",,    5530,,    2760,,    2775,,  894390,,  457815,,  436570,
"Age characteristics","    25 to 29 years",,    5130,,    2580,,    2550,,  874350,,  436345,,  438010,
"Age characteristics","    30 to 34 years",,    5560,,    2675,,    2885,,  864765,,  420800,,  443965,
"Age characteristics","    35 to 39 years",,    5380,,    2725,,    2650,,  842485,,  402900,,  439585,
"Age characteristics","    40 to 44 years",,    5580,,    2695,,    2890,,  871875,,  418465,,  453415,
"Age characteristics","    45 to 49 years",,    6215,,    3095,,    3125,,  937385,,  453105,,  484275,
"Age characteristics","    50 to 54 years",,    8120,,    3945,,    4170,, 1056345,,  517170,,  539175,
"Age characteristics","    55 to 59 years",,    8590,,    4175,,    4420,,  989460,,  482280,,  507180,
"Age characteristics","    60 to 64 years",,    7630,,    3770,,    3855,,  846145,,  406505,,  439640,
"Age characteristics","  65 years and over",,   21455,,    9660,,   11790,, 2251655,, 1015655,, 1236000,
"Age characteristics","    65 to 69 years",,    6955,,    3385,,    3565,,  737745,,  352475,,  385270,
"Age characteristics","    70 to 74 years",,    5025,,    2425,,    2600,,  528645,,  250455,,  278185,
"Age characteristics","    75 to 79 years",,    3725,,    1715,,    2010,,  393010,,  179810,,  213195,
"Age characteristics","    80 to 84 years",,    2685,,    1155,,    1530,,  291185,,  126825,,  164360,
"Age characteristics","    85 years and over",,    3065,,     980,,    2085,,  301075,,  106090,,  194985,
"Age characteristics","      85 to 89 years",,    1880,,     690,,    1195,,  188470,,   73045,,  115425,
"Age characteristics","      90 to 94 years",,     955,,     240,,     715,,   88390,,   27400,,   60990,
"Age characteristics","      95 to 99 years",,     210,,      45,,     165,,   21210,,    5150,,   16060,
"Age characteristics","      100 years and over",,      20,,       5,,      15,,    3005,,     495,,    2520,
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,
"Age characteristics","  0 to 14 years",,   16.4,,   17.3,,   15.6,,   16.4,,   17.3,,   15.6,
"Age characteristics","  15 to 64 years",,   62.6,,   63.3,,   61.9,,   66.8,,   67.3,,   66.4,
"Age characteristics","  65 years and over",,   21.0,,   19.4,,   22.5,,   16.7,,   15.5,,   17.9,
