,AgencyName,LegalStatus,OfficePhone,EMail,Website,Address,Neighbourhood,Accessibility,Hours,Eligibility,Languages,Application,DescriptionService,DateUpdated
0,University of Toronto,(50) Non Profit,416-287-7065,health-services@utsc.utoronto.ca,www.utsc.utoronto.ca/wellness,"1365 Military Trail
Scarborough, ON     M1C 1A4",,Unknown,"Mon, Wed-Fri 9am-4:45pm * Tue 10am-4:45pm",Students who need medical care * valid health card and student card required,English,Call or drop-in * no referral required,"University campus integrated health service
with doctors, nurses and counsellors that provide:<br><ul><li>assess and treat minor infections and injuries</li><li>general counselling</li><li>immunization</li><li>smoking cessation program (help to quit smoking)</li><li>sexual health information and counselling</li><li>birth control counselling</li><li>Pap smears</li><li>pregnancy testing and counselling</li><li>testing for sexually transmitted infections</li><li>nutrition counselling</li><li>personal counsellors available by appointment until 7pm</li></ul><br>Service is for
registered UTSC students only.&nbsp; Not for the public.",2016-01-12
1,Talk Shop Sexual Health Clinic,(50) Non Profit,416-338-7000,,www1.toronto.ca,"5100 Yonge St, Lower Level
Toronto, ON     M2N 5E7",,Fully Accessible,"Mon, Thu 2pm-6:30pm * Wed 9:30am-3:30pm (closed 11am-1:30pm)",People who need sexual health services,English,Drop-in * no referral required,Sexual health clinic * health professionals test for and treat sexually transmitted infections * family planning services<br><ul><li>birth control counselling</li><li>low cost or free birth control&nbsp;</li><li>pregnancy testing and counselling</li><li>free condoms</li><li>HIV testing</li><li>sexuality and relationship counseling</li><li>emergency contraceptive pill</li></ul>,2015-05-20
2,Seneca College - Newnham Campus - Student Health Centre,(50) Non Profit,416-491-5050 ext 22965,,www.senecac.on.ca/students/healthcentre.html,"1750 Finch Ave E
Toronto, ON     M2J 2X5",,,Mon-Fri 9am-4:30pm,Students and staff who need medical care * valid health card required,English,Call or drop-in * doctors are available only by appointment,College community medical clinic * health professionals assess and treat minor infections and injuries<br><ul><li>birth control counselling</li><li>emergency birth control</li><li>pap smears</li><li>testing and treating for sexually transmitted infections</li></ul>,2015-02-25
3,Assaulted Women's Helpline,(50) Non Profit ; (51) Registered Charity,Administration only 416-364-4144,,www.awhl.org,,,Not Applicable,Mon-Sun 24 hours * office -- Mon-Fri 9 am-5 pm,"Assaulted/abused women 16 years and older * families, friends, neighbours, professionals and other service providers in contact with abused women",English ; Telephone interpretation in over 154 other languages available for access to services,,"Telephone crisis counselling, emotional support, information and referrals to emergency shelters, legal information and community services, as well as culturally appropriate resources for abused women * liaison with diverse communities * confidential and anonymous",2015-10-06
4,Birth Control and VD Information Centre,(50) Non Profit ; (51) Registered Charity,416-789-4541,info@birthcontrolvd.org,www.birthcontrolvd.org,"960 Lawrence Ave W, Ste 403
Toronto, ON     M6A 3B5","Yorkdale-Glen Park, 31",Wheelchair accessible - call for details ; Lot parking,"Office -- Mon-Fri 10 am-5 pm * <b>clinics</b> -- Mon 2 pm-4 pm, Tue 4 pm-6 pm, Wed 12 noon-4 pm, Thu 5 pm-7 pm, Fri 12:30 pm-3:30 pm",,English,Call for appointment,"Sexual health clinic * information and counselling on birth control, sexually transmitted infections, pregnancy, unplanned pregnancy * fully equipped medical clinics -- no Ontario Health Insurance required * anonymous HIV testing, including point-of-care testing * sexually transmitted disease testing and treatment * low cost birth control * pregnancy tests, emergency contraception, condoms * community education programs, films, literature in many languages * confidential",2016-02-11
5,Birthright,(50) Non Profit ; (51) Registered Charity,416-469-1111,toronto@birthright.org,www.birthright.org,"777 Coxwell Ave
Toronto, ON     M4C 3C6","Danforth Village-Toronto, 66",Wheelchair accessible - call for details ; Rear entrance close to parking,"Mon 9:30 am-4:30 pm; Tue 9:30 am-1:30 pm, 6 pm-9 pm; Wed 9:30 am-1:30 pm, 5:30 pm-8:30 pm; Thu 9:30 am-1:30 pm; Fri 5:30 pm-8:30 pm",,English ; French - appointment required ; Filipino - appointment required ; Polish - appointment required ; Portuguese - appointment required ; Spanish - appointment required ; Urdu - appointment required,Call for appointment,Crisis pregnancy services offering assistance to distressed pregnant girls and women in carrying their babies to term * counselling and referrals * assistance in finding accommodation * free pregnancy testing * clothing for mother and baby * confidential,2016-01-21
6,Hassle Free Clinic,(50) Non Profit ; (51) Registered Charity,416-922-0566,admin@hasslefreeclinic.org,www.hasslefreeclinic.org,"66 Gerrard St E, Ste 200
Toronto, ON     M5B 1G3","Church-Yonge Corridor, 75",Wheelchair accessible via elevator at north side of building ; Barrier free examination room and washroom,"<b>Patient registration ends when all slots are filled</b>, generally early in clinic hours<br>
<br>
<b>Men/Trans-Identified</b> -- Mon, Wed 4 pm-8 pm; Tue, Thu 10 am-3 pm; Fri 4 pm-7 pm; Sat 10 am-2 pm * closed Sun and holidays<br>
<br>
<b>Women/Trans-Identified</b> -- Mon, Wed, Fri 10 am-3 pm; Tue, Thu 4 pm-8 pm * closed Sat, Sun and holidays<br>
<br>
Office phone answered during clinic hours only * answered with recorded messages after hours or when busy",No restrictions,English ; Chinese (Cantonese) ; Chinese (Mandarin) ; Hindi ; Italian ; Spanish ; Urdu,,"Sexual health counselling and related medical services, including birth control, testing and treatment for sexually transmitted infections, and anonymous HIV testing and counselling * partners welcome * confidential * no Ontario Health Insurance required * schedules for women/trans and men/trans clinics differ -- see Hours above * clinic space limited<br><br> 

<b>Men/Trans-Identified clients -- drop-in</b> for sexually transmitted infection (STI) testing and treatment * Hepatitis A and B vaccinations * free condoms available * <b>by appointment</b> -- anonymous HIV testing, counselling and treatment information * sexuality and safe sex counselling * sexual assault counselling, testing and follow-up * outreach to bathhouses<br><br> 

<b>Women/Trans-Identified clients -- drop-in</b> for sexually transmitted infection testing and treatment * free condoms available * emergency contraception/Plan B  * <b>by appointment</b> -- counselling on safer sex, sexually transmitted infections (STI), birth control, sexuality and healthy relationships * pregnancy testing and counselling * abortion counselling, referral and follow-up * fertility awareness * anonymous HIV testing, counselling and treatment information * support for HIV positive women and trans people * sexual assault counselling, testing and follow-up",2016-02-03
7,Immigrant Women's Health Centre,(50) Non Profit,416-323-9986,info@immigranthealth.info,www.immigranthealth.info,"489 College St, Ste 200
Toronto, ON     M6G 1A5","Palmerston-Little Italy, 80","Wheelchair accessible automatic main entrance ; Elevator with braille and voice/tone features - lowered buttons ; Wheelchair accessible washroom, assistance needed with door ; Street parking","Mon-Fri 9 am-5 pm * health clinic Mon-Tue 10 am-6 pm, Wed 2 pm-8 pm, Thu 10 am-2 pm","All women * focus on immigrant and refugee women, and women without status",English ; Chinese (Cantonese) ; Chinese (Mandarin) ; Filipino ; Hindi ; Italian ; Portuguese ; Spanish ; Urdu ; Vietnamese,Walk in,"Sexual health care medical services, information, counselling and referral -- health education, family planning, birth control, emergency contraception, sexually transmitted diseases, pregnancy, sexuality * presentations on reproductive health, AIDS * Immigrant Women's Health Handbook available in several languages * workshops and mobile health clinic visits in locations such as factories and other workplaces, places of worship and English as a Second Language (ESL) classes * confidential * no Ontario Health Insurance required",2014-05-16
8,Women's College Hospital,(50) Non Profit,416-323-6031,,www.womenscollegehospital.ca/programs-and-services/crossroads-clinic,"76 Grenville St, 3rd Fl
Toronto, ON     M5S 1B2","Bay Street Corridor, 76","Wheelchair accessible building including main entrance and barrier free washrooms * access ramps at front and emergency entrances * braille and tone elevator, lowered buttons",Mon-Fri 8 am-4 pm,Newly arrived refugees of all ages,English ; Interpretive Services,Call for an appointment,"Diagnosis and management of acute medical issues * annual health exams * management of chronic diseases * full primary care for children including immunizations * pregnancy care * family planning advice * health education<br><br>
<a href=""http://www.womenscollegehospital.ca/programs-and-services/crossroads-clinic/Syrian-Refugee-Medical-Clinic"">Temporary clinic</a>
for newly arrived Syrian refugees -- call 416-323-6400 ext 5905 for an appointment",2015-11-26
9,Unison Health and Community Services,(50) Non Profit ; (51) Registered Charity,416-787-1661,,www.unisonhcs.org,"12 Flemington Rd
Toronto, ON     M6A 2N4","Englemount-Lawrence, 32",Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Easy access to elevator ; Barrier-free washroom including door and stall ; Elevator with braille,"Mon-Thu 8:30 am-8:30 pm, Fri 8:30 am-5 pm","Health Services -- open to all within catchment area * Toronto Public Health dental clinic -- children, adolescents, parents enrolled in select Toronto Public Health programs and seniors","English ; interpreters for Italian, Portuguese, Russian, Somali, Spanish * other languages available with 24 hour notice",,"Community health centre * health services, health promotion, community services and community development * legal clinic * no Ontario Health Insurance required for general services 
<br><br>
<b>Health Services</b> -- family practice including crisis pregnancy, family planning, management of chronic conditions, prenatal and postnatal care, preventative health care, seniors’ health, sexual health --  individual and sexuality counselling,  treatment of sexually transmitted diseases * counselling and case management * dietitian * podiatry clinic
<br><br>
<b>Health Promotion</b> -- anonymous HIV testing * breastfeeding clinic * child and parenting programs * Diabetes Education Program * Diabetes Prevention Program * harm reduction programs * Toronto Public Health dental clinic * youth programs
<br><br>
<b>Pathways to Education</b> 416-787-6800 -- academic and financial support for high school students * located at Lawrence Square 700 Lawrence Ave W, Ste 440B, Toronto M6A 3B4
<br><br>
<b>Unison Links</b> 416-787-1676 ext 275 -- drop-in information and referral centre * Monday, Tuesday 9:30 am-12:30 pm, 1:30 pm-4:30 pm; Wednesday 9:30-12 noon, 1 pm-2:30 pm * form filling * help with accessing government and community programs * information on services at Unison and other agencies * internet access for searching community, social, health and related government services",2015-10-22
