,,,"Brant, Census division [Census division], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Population and dwellings","Population; 2016",1,  134808,,,...,,...,13448494,,,...,,...
"Population and dwellings","Population; 2011",1,  136035,,,...,,...,12851821,,,...,,...
"Population and dwellings","Population percentage change; 2011 to 2016",,     -0.9,,,...,,...,      4.6,,,...,,...
"Population and dwellings","Total private dwellings",2,   54626,,,...,,..., 5598391,,,...,,...
"Population and dwellings","Private dwellings occupied by usual residents",3,   52722,,,...,,..., 5169174,,,...,,...
"Population and dwellings","Population density per square kilometre",,  123.3,,,...,,...,   14.8,,,...,,...
"Population and dwellings","Land area in square kilometres",,   1093.22,,,...,,..., 908699.33,,,...,,...
"Age characteristics","Total - Age groups and average age of the population - 100% data",4,  134810,,   65710,,   69095,,13448495,, 6559390,, 6889105,
"Age characteristics","  0 to 14 years",,   23750,,   12095,,   11660,, 2207970,, 1131615,, 1076350,
"Age characteristics","    0 to 4 years",,    7560,,    3820,,    3735,,  697360,,  357300,,  340055,
"Age characteristics","    5 to 9 years",,    8190,,    4165,,    4025,,  756085,,  387320,,  368765,
"Age characteristics","    10 to 14 years",,    8005,,    4105,,    3895,,  754530,,  387000,,  367530,
"Age characteristics","  15 to 64 years",,   87390,,   43000,,   44395,, 8988865,, 4412115,, 4576750,
"Age characteristics","    15 to 19 years",,    8225,,    4240,,    3985,,  811670,,  416730,,  394945,
"Age characteristics","    20 to 24 years",,    8045,,    4035,,    4010,,  894390,,  457815,,  436570,
"Age characteristics","    25 to 29 years",,    7805,,    3845,,    3960,,  874350,,  436345,,  438010,
"Age characteristics","    30 to 34 years",,    8340,,    4070,,    4270,,  864765,,  420800,,  443965,
"Age characteristics","    35 to 39 years",,    8215,,    4035,,    4180,,  842485,,  402900,,  439585,
"Age characteristics","    40 to 44 years",,    8425,,    4150,,    4270,,  871875,,  418465,,  453415,
"Age characteristics","    45 to 49 years",,    8745,,    4290,,    4455,,  937385,,  453105,,  484275,
"Age characteristics","    50 to 54 years",,   10385,,    5090,,    5295,, 1056345,,  517170,,  539175,
"Age characteristics","    55 to 59 years",,    9985,,    4825,,    5160,,  989460,,  482280,,  507180,
"Age characteristics","    60 to 64 years",,    9215,,    4420,,    4800,,  846145,,  406505,,  439640,
"Age characteristics","  65 years and over",,   23665,,   10625,,   13040,, 2251655,, 1015655,, 1236000,
"Age characteristics","    65 to 69 years",,    7870,,    3810,,    4060,,  737745,,  352475,,  385270,
"Age characteristics","    70 to 74 years",,    5480,,    2580,,    2905,,  528645,,  250455,,  278185,
"Age characteristics","    75 to 79 years",,    3940,,    1805,,    2130,,  393010,,  179810,,  213195,
"Age characteristics","    80 to 84 years",,    3030,,    1280,,    1750,,  291185,,  126825,,  164360,
"Age characteristics","    85 years and over",,    3345,,    1145,,    2200,,  301075,,  106090,,  194985,
"Age characteristics","      85 to 89 years",,    2055,,     740,,    1320,,  188470,,   73045,,  115425,
"Age characteristics","      90 to 94 years",,    1015,,     340,,     665,,   88390,,   27400,,   60990,
"Age characteristics","      95 to 99 years",,     245,,      55,,     190,,   21210,,    5150,,   16060,
