,,,"Bruce, County [Census division], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Population and dwellings","Population; 2016",1,   68147,,,...,,...,13448494,,,...,,...
"Population and dwellings","Population; 2011",1,   66102,,,...,,...,12851821,,,...,,...
"Population and dwellings","Population percentage change; 2011 to 2016",,      3.1,,,...,,...,      4.6,,,...,,...
"Population and dwellings","Total private dwellings",2,   41183,,,...,,..., 5598391,,,...,,...
"Population and dwellings","Private dwellings occupied by usual residents",3,   28866,,,...,,..., 5169174,,,...,,...
"Population and dwellings","Population density per square kilometre",,   16.7,,,...,,...,   14.8,,,...,,...
"Population and dwellings","Land area in square kilometres",,   4090.20,,,...,,..., 908699.33,,,...,,...
"Age characteristics","Total - Age groups and average age of the population - 100% data",4,   68145,,   33625,,   34520,,13448495,, 6559390,, 6889105,
"Age characteristics","  0 to 14 years",,   10770,,    5430,,    5335,, 2207970,, 1131615,, 1076350,
"Age characteristics","    0 to 4 years",,    3790,,    1925,,    1865,,  697360,,  357300,,  340055,
"Age characteristics","    5 to 9 years",,    3645,,    1830,,    1820,,  756085,,  387320,,  368765,
"Age characteristics","    10 to 14 years",,    3335,,    1680,,    1655,,  754530,,  387000,,  367530,
"Age characteristics","  15 to 64 years",,   41305,,   20565,,   20740,, 8988865,, 4412115,, 4576750,
"Age characteristics","    15 to 19 years",,    3410,,    1770,,    1640,,  811670,,  416730,,  394945,
"Age characteristics","    20 to 24 years",,    3320,,    1705,,    1615,,  894390,,  457815,,  436570,
"Age characteristics","    25 to 29 years",,    3535,,    1795,,    1745,,  874350,,  436345,,  438010,
"Age characteristics","    30 to 34 years",,    3935,,    1975,,    1960,,  864765,,  420800,,  443965,
"Age characteristics","    35 to 39 years",,    3520,,    1795,,    1725,,  842485,,  402900,,  439585,
"Age characteristics","    40 to 44 years",,    3220,,    1625,,    1600,,  871875,,  418465,,  453415,
"Age characteristics","    45 to 49 years",,    3535,,    1720,,    1815,,  937385,,  453105,,  484275,
"Age characteristics","    50 to 54 years",,    5055,,    2425,,    2630,, 1056345,,  517170,,  539175,
"Age characteristics","    55 to 59 years",,    5805,,    2855,,    2950,,  989460,,  482280,,  507180,
"Age characteristics","    60 to 64 years",,    5965,,    2910,,    3060,,  846145,,  406505,,  439640,
"Age characteristics","  65 years and over",,   16075,,    7630,,    8440,, 2251655,, 1015655,, 1236000,
"Age characteristics","    65 to 69 years",,    5500,,    2775,,    2720,,  737745,,  352475,,  385270,
"Age characteristics","    70 to 74 years",,    3970,,    1985,,    1980,,  528645,,  250455,,  278185,
"Age characteristics","    75 to 79 years",,    2740,,    1330,,    1405,,  393010,,  179810,,  213195,
"Age characteristics","    80 to 84 years",,    2020,,     915,,    1105,,  291185,,  126825,,  164360,
"Age characteristics","    85 years and over",,    1850,,     620,,    1230,,  301075,,  106090,,  194985,
"Age characteristics","      85 to 89 years",,    1175,,     420,,     755,,  188470,,   73045,,  115425,
"Age characteristics","      90 to 94 years",,     545,,     165,,     375,,   88390,,   27400,,   60990,
"Age characteristics","      95 to 99 years",,     105,,      25,,      80,,   21210,,    5150,,   16060,
"Age characteristics","      100 years and over",,      25,,       0,,      20,,    3005,,     495,,    2520,
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,
"Age characteristics","  0 to 14 years",,   15.8,,   16.1,,   15.5,,   16.4,,   17.3,,   15.6,
"Age characteristics","  15 to 64 years",,   60.6,,   61.2,,   60.1,,   66.8,,   67.3,,   66.4,
"Age characteristics","  65 years and over",,   23.6,,   22.7,,   24.4,,   16.7,,   15.5,,   17.9,
"Age characteristics","    85 years and over",,    2.7,,    1.8,,    3.6,,    2.2,,    1.6,,    2.8,
"Age characteristics","Average age of the population",,   44.8,,   44.0,,   45.5,,   41.0,,   40.0,,   41.9,
"Age characteristics","Median age of the population",,   48.5,,   47.2,,   49.5,,   41.3,,   40.2,,   42.4,
"Household and dwelling characteristics","Total - Occupied private dwellings by structural type of dwelling - 100% data",5,   28870,,,...,,..., 5169175,,,...,,...
"Household and dwelling characteristics","  Single-detached house",,   24155,,,...,,..., 2807380,,,...,,...
"Household and dwelling characteristics","  Apartment in a building that has five or more storeys",,       0,,,...,,...,  886705,,,...,,...
"Household and dwelling characteristics","  Other attached dwelling",6,    4465,,,...,,..., 1460200,,,...,,...
"Household and dwelling characteristics","    Semi-detached house",,     645,,,...,,...,  289975,,,...,,...
"Household and dwelling characteristics","    Row house",,    1180,,,...,,...,  460425,,,...,,...
"Household and dwelling characteristics","    Apartment or flat in a duplex",,     320,,,...,,...,  176080,,,...,,...
"Household and dwelling characteristics","    Apartment in a building that has fewer than five storeys",,    2165,,,...,,...,  522810,,,...,,...
"Household and dwelling characteristics","    Other single-attached house",,     155,,,...,,...,   10910,,,...,,...
"Household and dwelling characteristics","  Movable dwelling",7,     245,,,...,,...,   14890,,,...,,...
"Household and dwelling characteristics","Total - Private households by household size - 100% data",8,   28865,,,...,,..., 5169170,,,...,,...
"Household and dwelling characteristics","  1 person",,    8090,,,...,,..., 1341300,,,...,,...
"Household and dwelling characteristics","  2 persons",,   11960,,,...,,..., 1693525,,,...,,...
"Household and dwelling characteristics","  3 persons",,    3595,,,...,,...,  834260,,,...,,...
"Household and dwelling characteristics","  4 persons",,    3290,,,...,,...,  796320,,,...,,...
"Household and dwelling characteristics","  5 or more persons",,    1930,,,...,,...,  503775,,,...,,...
"Household and dwelling characteristics","Number of persons in private households",,   66720,,,...,,...,13242160,,,...,,...
"Household and dwelling characteristics","Average household size",,    2.3,,,...,,...,    2.6,,,...,,...
"Marital status","Total - Marital status for the population aged 15 years and over - 100% data",9,   57380,,   28200,,   29180,,11240525,, 5427775,, 5812750,
"Marital status","  Married or living common law",,   37130,,   18575,,   18550,, 6438085,, 3219290,, 3218795,
"Marital status","    Married",,   31730,,   15885,,   15840,, 5531930,, 2764275,, 2767655,
"Marital status","    Living common law",,    5400,,    2690,,    2710,,  906155,,  455015,,  451145,
"Marital status","  Not married and not living common law",,   20255,,    9620,,   10630,, 4802440,, 2208485,, 2593955,
"Marital status","    Never married",,   11515,,    6510,,    5010,, 3182785,, 1689180,, 1493605,
"Marital status","    Separated",,    1535,,     740,,     795,,  328675,,  138140,,  190535,
"Marital status","    Divorced",,    3035,,    1420,,    1615,,  653835,,  252900,,  400935,
"Marital status","    Widowed",,    4170,,     955,,    3210,,  637150,,  128265,,  508880,
"Family characteristics","Total - Census families in private households by family size - 100% data",10,   20505,,,...,,..., 3782540,,,...,,...
"Family characteristics","  2 persons",,   12160,,,...,,..., 1815000,,,...,,...
"Family characteristics","  3 persons",,    3505,,,...,,...,  844545,,,...,,...
"Family characteristics","  4 persons",,    3155,,,...,,...,  792435,,,...,,...
"Family characteristics","  5 or more persons",,    1680,,,...,,...,  330560,,,...,,...
"Family characteristics","Average size of census families",,    2.8,,,...,,...,    2.9,,,...,,...
"Family characteristics","Total number of census families in private households - 100% data",11,   20505,,,...,,..., 3782545,,,...,,...
"Family characteristics","  Total couple families",,   18265,,,...,,..., 3137570,,,...,,...
"Family characteristics","    Married couples",,   15570,,,...,,..., 2684735,,,...,,...
"Family characteristics","    Common-law couples",,    2700,,,...,,...,  452840,,,...,,...
"Family characteristics","  Total lone-parent families by sex of parent",,    2240,,,...,,...,  644975,,,...,,...
"Family characteristics","    Female parent",,    1695,,,...,,...,  518480,,,...,,...
"Family characteristics","    Male parent",,     540,,,...,,...,  126495,,,...,,...
"Family characteristics","Total - Couple census families in private households - 100% data",,   18265,,,...,,..., 3137565,,,...,,...
"Family characteristics","  Couples without children",,   10785,,,...,,..., 1428575,,,...,,...
"Family characteristics","  Couples with children",,    7480,,,...,,..., 1708995,,,...,,...
"Family characteristics","    1 child",,    2900,,,...,,...,  658305,,,...,,...
"Family characteristics","    2 children",,    2965,,,...,,...,  738710,,,...,,...
"Family characteristics","    3 or more children",,    1620,,,...,,...,  311975,,,...,,...
