,,,"York, Regional municipality [Census division], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Population and dwellings","Population; 2016",1, 1109909,,,...,,...,13448494,,,...,,...
"Population and dwellings","Population; 2011",1, 1032524,,,...,,...,12851821,,,...,,...
"Population and dwellings","Population percentage change; 2011 to 2016",,      7.5,,,...,,...,      4.6,,,...,,...
"Population and dwellings","Total private dwellings",2,  369928,,,...,,..., 5598391,,,...,,...
"Population and dwellings","Private dwellings occupied by usual residents",3,  357084,,,...,,..., 5169174,,,...,,...
"Population and dwellings","Population density per square kilometre",,  629.9,,,...,,...,   14.8,,,...,,...
"Population and dwellings","Land area in square kilometres",,   1762.13,,,...,,..., 908699.33,,,...,,...
"Age characteristics","Total - Age groups and average age of the population - 100% data",4, 1109910,,  540755,,  569150,,13448495,, 6559390,, 6889105,
"Age characteristics","  0 to 14 years",,  195575,,  100440,,   95130,, 2207970,, 1131615,, 1076350,
"Age characteristics","    0 to 4 years",,   57235,,   29205,,   28025,,  697360,,  357300,,  340055,
"Age characteristics","    5 to 9 years",,   67345,,   34665,,   32680,,  756085,,  387320,,  368765,
"Age characteristics","    10 to 14 years",,   71000,,   36575,,   34430,,  754530,,  387000,,  367530,
"Age characteristics","  15 to 64 years",,  752410,,  365525,,  386885,, 8988865,, 4412115,, 4576750,
"Age characteristics","    15 to 19 years",,   74910,,   38615,,   36295,,  811670,,  416730,,  394945,
"Age characteristics","    20 to 24 years",,   71965,,   37465,,   34495,,  894390,,  457815,,  436570,
"Age characteristics","    25 to 29 years",,   63860,,   32140,,   31720,,  874350,,  436345,,  438010,
"Age characteristics","    30 to 34 years",,   62910,,   30105,,   32800,,  864765,,  420800,,  443965,
"Age characteristics","    35 to 39 years",,   68510,,   31260,,   37255,,  842485,,  402900,,  439585,
"Age characteristics","    40 to 44 years",,   81615,,   37885,,   43730,,  871875,,  418465,,  453415,
"Age characteristics","    45 to 49 years",,   89925,,   42655,,   47270,,  937385,,  453105,,  484275,
"Age characteristics","    50 to 54 years",,   92240,,   44860,,   47380,, 1056345,,  517170,,  539175,
"Age characteristics","    55 to 59 years",,   80930,,   39135,,   41795,,  989460,,  482280,,  507180,
"Age characteristics","    60 to 64 years",,   65540,,   31395,,   34140,,  846145,,  406505,,  439640,
"Age characteristics","  65 years and over",,  161925,,   74790,,   87135,, 2251655,, 1015655,, 1236000,
"Age characteristics","    65 to 69 years",,   56415,,   27155,,   29260,,  737745,,  352475,,  385270,
"Age characteristics","    70 to 74 years",,   37465,,   17900,,   19570,,  528645,,  250455,,  278185,
"Age characteristics","    75 to 79 years",,   28670,,   13525,,   15145,,  393010,,  179810,,  213195,
"Age characteristics","    80 to 84 years",,   20175,,    9160,,   11020,,  291185,,  126825,,  164360,
"Age characteristics","    85 years and over",,   19195,,    7055,,   12140,,  301075,,  106090,,  194985,
"Age characteristics","      85 to 89 years",,   12215,,    4850,,    7365,,  188470,,   73045,,  115425,
"Age characteristics","      90 to 94 years",,    5435,,    1780,,    3650,,   88390,,   27400,,   60990,
"Age characteristics","      95 to 99 years",,    1355,,     380,,     980,,   21210,,    5150,,   16060,
"Age characteristics","      100 years and over",,     190,,      45,,     145,,    3005,,     495,,    2520,
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,
"Age characteristics","  0 to 14 years",,   17.6,,   18.6,,   16.7,,   16.4,,   17.3,,   15.6,
"Age characteristics","  15 to 64 years",,   67.8,,   67.6,,   68.0,,   66.8,,   67.3,,   66.4,
"Age characteristics","  65 years and over",,   14.6,,   13.8,,   15.3,,   16.7,,   15.5,,   17.9,
"Age characteristics","    85 years and over",,    1.7,,    1.3,,    2.1,,    2.2,,    1.6,,    2.8,
"Age characteristics","Average age of the population",,   39.9,,   39.0,,   40.7,,   41.0,,   40.0,,   41.9,
"Age characteristics","Median age of the population",,   41.1,,   40.0,,   42.0,,   41.3,,   40.2,,   42.4,
"Household and dwelling characteristics","Total - Occupied private dwellings by structural type of dwelling - 100% data",5,  357085,,,...,,..., 5169175,,,...,,...
"Household and dwelling characteristics","  Single-detached house",,  227725,,,...,,..., 2807380,,,...,,...
"Household and dwelling characteristics","  Apartment in a building that has five or more storeys",,   36805,,,...,,...,  886705,,,...,,...
"Household and dwelling characteristics","  Other attached dwelling",6,   92440,,,...,,..., 1460200,,,...,,...
"Household and dwelling characteristics","    Semi-detached house",,   21945,,,...,,...,  289975,,,...,,...
"Household and dwelling characteristics","    Row house",,   43890,,,...,,...,  460425,,,...,,...
"Household and dwelling characteristics","    Apartment or flat in a duplex",,   15170,,,...,,...,  176080,,,...,,...
"Household and dwelling characteristics","    Apartment in a building that has fewer than five storeys",,   11085,,,...,,...,  522810,,,...,,...
"Household and dwelling characteristics","    Other single-attached house",,     355,,,...,,...,   10910,,,...,,...
"Household and dwelling characteristics","  Movable dwelling",7,     110,,,...,,...,   14890,,,...,,...
"Household and dwelling characteristics","Total - Private households by household size - 100% data",8,  357080,,,...,,..., 5169170,,,...,,...
