,AgencyName,LegalStatus,OfficePhone,EMail,Website,Address,Neighbourhood,Accessibility,Hours,Eligibility,Languages,Application,DescriptionService,DateUpdated
0,Cliffcrest Health Centre,(60) Commercial,416-267-2238,,,"2890 Kingston Rd
Toronto, ON     M1M 1N5",,Fully Accessible,Mon 9am-5pm * Tues 9am-4pm * Wed 9am-12pm * Thurs 9am-6pm * Fri 9am-12pm,No restrictions,English ; French,Call or visit,"Offers dental and denture work, audiology services and foot care services * Denturist services with
onsite dental lab.",2016-02-16
1,Golden Care Dental Services,(60) Commercial,416-484-6228,info@GoldenCareDentalServices.com,www.goldencaredentalservices.com,"1571 Sandhurst Circle
Scarborough, ON     M1V 5K2",,Partially Accessible,Call for appointment,seniors who are not mobile,English,Call or visit,Mobile dental services bringing services to patients who are unable to travel to a conventional dental office * Services include:<br><ul><li>examinations</li><li>x-rays</li><li>hygiene care</li><li>fillings</li><li>root canal</li><li>extractions</li><li>denture therapy</li></ul><br>,2015-06-24
2,"Toronto, City of",,416-338-7442,,www.toronto.ca/health/dental,"160 Burough Dr
Toronto, ON     M1P 4N8",,,Mon-Fri 8am-4pm,"Cannot afford to go to private dentist, 0-13 yrs and attend school, 65 yrs and older, high school students, high risk perinatal mothers, live in City of Toronto, do not have private dental insurance",English,"Cannot afford to go to private dentist, 0-13 yrs and attend school, 65 yrs and older, high school students, high risk perinatal mothers, live in City of Toronto, do not have private dental insurance","The City of Toronto's Public Health Dental Clinics provide free dental care for eligible children, high school students, and seniors.<br><br>Offers basic services such as: <br><ul><li>Examinations</li><li>X-rays</li><li>Fillings</li><li>Cleaning</li><li>Some root canal treatments</li><li>Extractions</li><li>Emergency and urgent dental care to treat issues like dental pain or cavities</li><li>Full or partial dentures covered but clients are asked to pay the full laboratory cost for dentures or denture repair.&nbsp;<br></li></ul>",2014-11-04
3,Dr. Monte Tator Family Dentistry,,416-244-2768,drtator@gmail.com,www.tatordentistry.ca,"1920 Weston Rd, Ste 211
Toronto, ON     M9N 1W4",,Fully Accessible,Mon 12noon-6pm * Tue 9am-4pm * Wed 12noon-6pm * Thu 9am-4pm * Fri 9am-1pm,No restrictions,English ; Spanish,Call or visit,"Provides dental care and education about dental care including invisalign, implants and dentures",2015-07-20
4,HealthOne Medical Centre,(60) Commercial,416-223-6666,info@healthonemedicalcentre.com,healthonemedicalcentre.com,"5292 Yonge St
North York, ON     M2N 5P9",,Fully Accessible,Mon-Thu 9am-8pm * Fri 9am-6pm * Sat 10am-3pm,People who need medical care for minor illnesses and injuries,English,Call or visit * no referral required,Family practice with associated after-hours clinic * doctors and nurses assess and treat minor illnesses and injuries<br><ul><li>pharmacy</li><li>chiropractic care <br></li><li>physiotherapy&nbsp;</li><li>dental care</li><li>optometry</li><li>acupuncture and massage therapy</li><li>orthotics and bracing</li></ul>,2015-04-14
5,Urban Volunteer Dental Clinic,(50) Non Profit,416-289-4349,,ccrihc.ca,"3000 Lawrence Ave E, Bldg A, 2nd Fl
Toronto, ON     M1P 2V1","Bendale, 127",Wheelchair accessible building including main entrance and barrier free washrooms * designated parking close to entrance,"Variable, and very limited","Low income adults and youth not in school * must meet strict financial eligibility guidelines and have no income <br><br>
<b>Not eligible for services</b> -- recipients of government income supports including pension, Ontario Works and Ontario Disability Support Program * pregnant women, children, seniors, international students, tourists, transients and visitors",English,Call for appointment,Dental clinic staffed by volunteer dentists * operated by a coalition of agencies * <b>no emergency service</b>,2015-10-07
6,Anishnawbe Health Toronto,(50) Non Profit ; (51) Registered Charity,416-920-2605,info@aht.ca,www.aht.ca,"179 Gerrard St E
Toronto, ON     M5A 2E5","Moss Park, 73","Wheelchair accessible automatic main entrance ; Wheelchair accessible washroom, assistance needed with door ; Limited street parking","Mon, Wed 9 am-8 pm, Tue, Thu-Fri 9 am-5 pm * Mental Health Crisis Line -- Mon-Sun 24 hours",Aboriginal ancestry,English ; some Aboriginal languages,Call or drop in,"Crisis management program and specialized mental health services * Babishkhan Circle of Care, O Tay and Finding My Way Training Program for homeless clients * Community Health Worker Training Program * Toronto Public Health dental clinic for children and seniors, 416-338-6984",2015-05-20
7,Rouge Valley Health System,(50) Non Profit ; (51) Registered Charity,416-284-8131,patientrelations@rougevalley.ca,www.rougevalley.ca,"2867 Ellesmere Rd
Toronto, ON     M1E 4B9","Morningside, 135",Wheelchair accessible building including main entrance and barrier free washrooms * designated parking,Mon-Sun 24 hours,,English ; staff/interpreters for other languages,,"Acute care hospital * complex continuing care * rehabilitation<br><br>
Cancer care * cardiac care and rehabilitation * pediatrics * psychiatry * prenatal and postnatal services * respiratory care * surgery<br><br>
<b>Geriatric Assessment and Intervention Network (GAIN) Clinic </b>-- for frail seniors<br><br>

Participant in Toronto Preschool Speech and Language Services -- see separate entry",2015-12-30
8,"University Health Network, Toronto Rehabilitation Institute",(50) Non Profit ; (51) Registered Charity,416-597-3422 ext 2000 ; 416-59-REHAB ext 2000,,www.uhn.ca/torontorehab,"130 Dunn Ave
Toronto, ON     M6K 2R7","South Parkdale, 85",Wheelchair accessible building including main entrance and barrier free washrooms * elevators with attendants,,,English ; interpreters for many languages,,"Complex continuing care facility * outpatient services <br><br>

<b>Complex Continuing Care Program </b>-- 
complex medical care * hemodialysis * low-tolerance long-duration rehabilitation * respite care * palliative care <br><br>
<b>Augmentative and Alternative Communication Clinic </b>-- outpatient service for adults with acquired difficulties with speech and writing * assessment * equipment prescriptions * training and support * help in accessing funding support from the Assistive Devices Program of the Ministry of Health and Long-Term Care<br><br>

<b>Dental Clinic </b>-- 416-597-3422 ext 2212",2014-01-16
9,William Osler Health Centre,(50) Non Profit ; (51) Registered Charity,416-494-2120 ext 7,,www.williamoslerhc.on.ca,"101 Humber College Blvd
Toronto, ON     M9V 1R8","West Humber-Clairville, 1",Wheelchair accessible building including main and emergency entrances * barrier free washrooms * designated parking,Mon-Sun 24 hours,,English ; interpretive services,,"Acute care hospital * inpatient and outpatient services * Ontario Breast Screening Program<br><br>
Cardiology * surgery and critical care * mental health and addictions * obstetrics and special care nursery * pediatric inpatient short stay unit * pediatric ambulatory clinics including asthma, diabetes, kidney and sickle cell anemia <br><br>
<a href="" http://www.williamoslerhc.on.ca/patients-and-families/connect-with-osler/find-a-family-doctor""> Family medicine</a> -- list of family physicians affiliated with William Osler Health Centre who are accepting new patients",2014-01-30
