,AgencyName,LegalStatus,OfficePhone,EMail,Website,Address,Neighbourhood,Accessibility,Hours,Eligibility,Languages,Application,DescriptionService,DateUpdated
0,"Accommodation, Information and Support",(50) Non Profit ; (51) Registered Charity,416-504-3610,mbastidas@aistoronto.ca,www.aistoronto.ca,"720 Spadina Ave, Ste 316
Toronto, ON     M5S 2T9","University, 79",Wheelchair accessible automatic main entrance ; Easy access to elevator - 2 sites ; Accessible door flashers and strobe alarms for deaf and hard of hearing - call for details on units for hearing impaired,Office and Supports -- Mon-Fri 9 am-5 pm * occasional weekend activities,"Individuals 16 years and older, single or with family, recovering from significant mental health problems, including a concurrent disorder, and homelessness",English ; American Sign Language (ASL) ; Polish ; Spanish,"Supportive housing -- apply through Access Point, call 1-888-640-1934 or visit www.theaccesspoint.ca to download application","Permanent supportive housing * bachelor, one and two bedroom apartments in 4 locations * 109 units * 8 units for hearing impaired persons * case management and individualized community support * trauma and spiritual care * nutrition programs * bed bug and hoarding program * community development",2015-05-07
1,Bellwood Health Services,(50) Non Profit,416-495-0926,info@bellwood.ca,www.bellwood.ca,"1020 McNicoll Ave
Toronto, ON     M1W 2J6","Steeles, 116",Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,Mon-Sun 24 hours,"Women and men 19 years and older, with alcohol and/or drug addiction, problem gambling, eating disorders, sex addiction, or concurrent trauma and addiction",English,Contact Intake and Assessment * psychosocial interview and medical assessment,"Residential and outpatient addiction treatment, including individual, family and couples counselling",2014-10-15
2,Humber River Hospital,(50) Non Profit ; (51) Registered Charity,416-242-1000,,www.hrh.ca,"1235 Wilson Ave
Toronto, ON     M3M 0B2","Downsview-Roding-CFB, 26",Unknown,Mon-Sun 24 hours,,English ; telephone service provides access to interpreters for over 140 languages,,"Acute care hospital * medical and surgical inpatient services * diagnostic services * breast screening * breastfeeding clinic * cancer detection and treatment * cardiac care * diabetes education centre * dialysis * gastroenterology * geriatric services * gynecology * neurology* obstetrics * ophthalmology * oral and dental surgery * orthopedics * otolaryngology * palliative care * pediatrics * plastic surgery * respiratory care * speech language pathology * urology<br>
<br>
<b>Mental Health and Addictions Program</b> -- crisis, inpatient and outpatient services for children, adolescents and adults * concurrent disorders * day treatment * early intervention in psychosis * child and adolescent transition day program * Bridgeway Chemical Dependency Program * withdrawal management",2015-10-16
3,Jean Tweed Centre,(50) Non Profit ; (51) Registered Charity,416-255-7359,info@jeantweed.com,www.jeantweed.com,"215 Evans Ave
Toronto, ON     M8Z 1J5","Mimico, 17",Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,Office -- Mon-Fri 9 am-5 pm * programs Tue-Thu 9 am-9 pm,"Women 16 years and older who have problems with alcohol, other drugs or problem gambling, and their families * all services available to women on methadone * child development centre -- children 6 years and under",English,Professional or self referral * weekly information session,"Intensive 3 week residential and day treatment program, or individual counselling program over an extended period * pretreatment services and continuing care for 2 years * counselling services for women who have experienced trauma and who have completed the general program * family education and counselling * child care and child development services available * program for women with concurrent disorders currently in the criminal justice system<br><br>

<b>Pathways to Healthy Families</b> -- holistic, culturally responsive outreach program for pregnant or parenting women * service coordination and case management * access to support and counselling (individual, family, group), and child development services<br><br>

Also supportive housing and outreach services for women with mental health and substance abuse problems * all programs trauma informed",2016-01-07
4,"University Health Network, Toronto Western Hospital",(50) Non Profit ; (51) Registered Charity,416-603-5974,,www.uhn.ca,"399 Bathurst St, East Wing, 9th Fl
Toronto, ON     M5T 2S8","Trinity-Bellwoods, 81",Unknown,Mon-Fri 9 am-5 pm,Portuguese speaking people with a mental health and/or addiction problem * court ordered referrals for addiction treatment and probation referrals are accepted,English ; Portuguese,"Physician, court order or probation referral required","Linguistically and culturally appropriate mental health and addiction services * general assessment, treatment and consultation * addiction/concurrent disorder service * intensive case management service for chronic mental illness",2014-01-31
5,Turning Point Youth Services,(50) Non Profit ; (51) Registered Charity,416-925-9250,info@turningpoint.ca,www.turningpoint.ca,"95 Wellesley St E
Toronto, ON     M4Y 2X9","Church-Yonge Corridor, 75","Wheelchair accessible main entrance, assistance needed with door ; Barrier-free washroom ; Parking close to entrance ; Residences not accessible","Mon-Fri 8:30 am-4:30 pm,  also Tue 4:30 pm-8 pm * evening therapy appointments available * <b>shelter</b> -- Mon-Sun 24 hours","Residential treatment, mental health counselling and other nonresidential services -- youth 12-18 years with social, emotional and behavioural difficulties, and their families * some programs up to 24 years * see specific programs for details",English ; Access to French Language Services ; Access to interpreters for other languages,"Call, email or visit website for information * residential treatment, counselling and other nonresidential services -- contact Intake at 416-925-9250 ext 224 for details","Residential and nonresidential programs * structured, individualized treatment * support and counselling * Youth Justice Services<br><br>

<b>Clifton House, Withrow House, Woodycrest House</b> -- residences * individual and family therapy * life skills * client focused * self management skills * child welfare and young offender residents * rents geared to income * combined capacity 24<br><br>

<b>Concurrent Disorders Program</b> -- short term residential program for young men 16-24 years * support and stabilization * development of life skills and family and community support networks * preparation for longer term treatment * assistance with securing permanent housing * intensive case management * follow up * capacity 6<br><br>

<b>Counselling Services</b> -- mental health counselling and assessment for youth 12-18 years * individual, family and group therapy * self or professional referral * referrals to TPYS residential programs or community-based services<br><br>

<b>Project Going Home</b> -- offers individuals the means necessary to return to their home communities * travel expenses * food * supportive counselling and referrals to local community supports * community or self referrals<br><br>

<b>Redwood House</b> -- transitional residential program for young men 16-24 years, able to live cooperatively and manage a personal budget * some support and instrumental assistance * monetary contribution required * capacity 8 * referral from agency, community or self referral<br><br>

<b>Shelter</b> -- short term emergency residence for young men 16-24 years * food * supportive counselling * referrals * evening and day programming * housing support * employment and community support * capacity 35<br><br>

<b>The Classroom (Section 23)</b> -- educational services for residents and nonresidents * individualized attention to academic and behavioural difficulties * life skills * drug abuse * family intervention * ethnospecific counselling * aftercare<br><br>

<b>Turning Point Program</b> -- court diversion program for youth 12-18 years with a probation order to attend * emphasis on developing positive social, cognitive, problem solving and decision making skills * conflict resolution<br><br>

<b>Youth Court Mental Health Program</b> -- court diversion program for youth 12-17 years with a mental health disorder * counselling, assessment, case management, referral and treatment * court and probation referral only * in partnership with Griffin Centre -- see separate entry",2015-05-05
6,Breakaway Addiction Services,(50) Non Profit ; (51) Registered Charity,416-234-1942,breakaway@breakawayaddictions.ca,www.breakawayaddictions.ca,"21 Strickland Ave
Toronto, ON     M6K 3E6","Roncesvalles, 86",Wheelchair accessible automatic main entrance ; Barrier-free washrooms ; Lot parking ; Community locations vary,"Mon-Thu 9 am-5 pm, Fri 9 am-1 pm * after hours -- by appointment only * individual programs may vary","Varies for individual programs, see below",English,"Self, family, professional or agency referral * will accept collect calls from correctional facilities * <b>Supportive Housing</b> -- apply through Access Point, call 1-888-640-1934 or visit www.theaccesspoint.ca to download application * <b> Opiate Addiction Treatment Services</b> -- call 416-537-9346 or drop in","Comprehensive, community-based, individualized addiction treatment and harm reduction services including street and community outreach<br><br>

<b>Clear Directions Day Treatment Program</b> -- for youth 14-18 years with addictions and mental health problems * school program including academic, therapeutic, and substance use support * in collaboration with George Hull Centre for Children and Families and Toronto District School Board<br><br>

<b>Family and Youth Initiatives</b> -- outpatient treatment for youth 12-24 years with substance abuse related problems, and their families * parent support groups * adult information evenings * groups for youth mandated clients * consultation and supportive assistance to families and significant others when users are not in treatment * community professionals and agency staff -- consultation and training in early identification and management of substance abuse * community education and prevention programs * outreach in some schools<br><br>

<b>Harm Reduction Outreach</b> -- for drug users 12 years and older who are street involved or in conflict with the law * street outreach including counselling, needle exchange, harm reduction supplies, free condoms * outreach to Vanier Centre for Women<br><br>

<b>Opiate Addiction Treatment Services</b> -- outpatient, harm reduction treatment including pharmacotherapies such as methadone, and individual and group counselling * intake and assessment * case management * treatment planning and review * referral and advocacy for housing, employment, social assistance * social and recreation programs<br><br>

<b>Supportive Housing</b> -- for individuals 16 years and older, who have problematic substance use and require stable housing * Housing First Model of supportive housing * engagement in addiction treatment or abstinence not required * in partnership with Regeneration Community Services (see separate entry) <br><br>
 
<b>Toronto Opiate Support Team (TOST)</b> -- for individuals who use opiates or replacement medications, and have little or no access to supportive services (no age restrictions) * case management, counselling and advocacy * flexible ongoing or short term support * training for community service providers * in collaboration with other community agencies * available in various community locations",2015-02-05
7,Nazareth House,(50) Non Profit ; (51) Registered Charity,416-532-0336,nazareth_house@sympatico.ca,www.nazarethhouse.ca,"455 Palmerston Blvd
Toronto, ON     M6G 2N9","Palmerston-Little Italy, 80",Not Accessible ; Street parking,Residence -- Mon-Sun 24 hours * administration -- Mon-Fri 8 am-5 pm,"Women 18-50 years, at risk of homelessness and recovering from substance abuse and in need of short term housing * must be goal oriented and willing to live in communal environment",English ; Farsi ; Hebrew ; Spanish,"Self referral, or referrals from shelters, hospitals, treatment centres, schools, other agencies, private practitioners","Supportive transition house * capacity 11, including 4 spaces for mothers with infants * maximum stay 1 year * nondenominational * community, participatory environment * individual counselling to assist residents in identifying problems, setting goals and creating plans of action * assessment and referral to community agencies * opportunity to learn and use living skills * individual counselling and referrals for women in recovery from addiction and concurrent disorders",2015-01-12
8,Progress Place,(50) Non Profit ; (51) Registered Charity,416-323-0223,theclub@progressplace.org,www.progressplace.org,"576 Church St
Toronto, ON     M4Y 2E3","Church-Yonge Corridor, 75",Wheelchair accessible automatic main entrance ; Street parking close to entrance,"Mon-Fri 8 am-8 pm * Sat-Sun, holidays 11 am-8 pm * <b>Warm Line</b> -- call Mon-Sun 8 pm-12 midnight, or text or chat Fri-Sun 8 pm-12 midnight, including holidays",Adults 18-65 years with significant mental health problems,English ; Other languages may be available - call for details,"Membership required (except for Warm Line) * professional or self referral * intake interview * supportive housing -- apply through Access Point, call 1-888-640-1934 or visit www.theaccesspoint.ca to download application","Community-based psychosocial rehabilitation centre, based on the clubhouse approach<br>
<br>
<b>The Clubhouse</b> -- members attend the Clubhouse to begin recovery from serious mental illness * members participate in work-focused activity units including clerical, maintenance, food services * peer and staff support * evening, weekend and holiday social and recreation activities<br> 
<br>
<b>Employment Program</b> -- part time employment in the community for Clubhouse members, at competitive wages * group, transitional and independent employment opportunities * staff support as required<br> 
<br>
<b>Residential Services</b> -- affordable housing for Clubhouse members * flexible as-needed support in bachelor and one bedroom apartments<br> 
<br>
<b>Double Recovery Program</b> -- self-help meetings for individuals with concurrent disorders of mental illness and addictions * meetings held at various downtown locations<br>
<br>
<b>Warm Line, 416-960-9276</b> -- peer support telephone line operated by and for consumers/survivors, including text format * online chat also available, visit <a href=""http://www.warmline.ca"">www.warmline.ca</a> for information",2015-08-05
9,Salvation Army,(50) Non Profit ; (51) Registered Charity,416-255-7070,info@tsa-bss.org,www.tsa-bss.org,"Titan Islington Plaza
1020 Islington Ave, Unit 9A
Toronto, ON     M8Z 6A4","Islington-City Centre West, 14",Unknown,"Mon-Fri 8:30 am-4 pm * after hours on-call support services -- Mon-Fri 4 pm-8:30 am, Sat-Sun and holidays 24 hours","Adults 18 years and older with a mental health disorder, a history of addiction (including concurrent disorder) or previous experience as a mental health services consumer * must have been recently housed, living in precarious housing conditions, or have a history of sporadic housing, and who are willing to live and participate in a cooperative environment",English,"Agency, professional, family or self referral * contact 416-255-7070 ext 256 for information or intake","Outreach agency * wrap around treatment services available to clients in their home or chosen community location * assessment, treatment and care plan development * assistance with housing and shelter * life skills development * medical, crisis and psychiatric support * food, clothing assistance * legal, financial, education and employment counselling * assistance with activities of daily living including personal care, meal preparation, grocery shopping * relationship building, leisure and recreation activities * spiritual counselling",2015-08-05
