,AgencyName,LegalStatus,OfficePhone,EMail,Website,Address,Neighbourhood,Accessibility,Hours,Eligibility,Languages,Application,DescriptionService,DateUpdated
0,East Metro Youth Services,,416-438-3697,emys@emys.on.ca,www.emys.on.ca,"1200 Markham Rd Ste 200
Toronto, ON     M1H 3C3",,Fully Accessible,Mon-Thu 9am-8pm * Fri 9am-5pm,No restrictions,English,Call or visit,"Children's Mental Health agency providing a range of services to youth, 12 - 18 and their families who live in East Toronto.<BR><BR><B>What's Up Walk-in Clinic</B> - East Metro Youth Services’ ‘<i>what’s up’</i> walk-in®
Clinic is a free Monday – Saturday mental health and counselling walk-in
service.&nbsp; The clinic provides children, youth, young adults and their
families immediate counselling for a range of issues including depression,
anxiety, family conflict and bullying.<BR><BR><B>Services and Programs:</B><UL><LI>Day Treatment Program</LI><LI>Galloway After School Program</LI><LI>Intensive Home Based Services: Intensive Child and Family Services (ICFS) and Priority Access for Child Welfare Clients</LI><LI>Residential Treatment</LI><LI>Respite</LI><LI>Time For The Taking</LI><LI>Violence Intervention Project</LI><LI>Whatever it Takes (WIT)</LI></UL>",42214
1,Arab Community Centre of Toronto,(50) Non Profit ; (51) Registered Charity,416-231-7746,Info@arabnewcomers.org,www.arabcommunitycentre.com,"555 Burnhamthorpe Rd, Ste 209
Toronto, ON     M9C 2Y3","Etobicoke West Mall, 13",Wheelchair accessible building including main entrance and barrier free washrooms * designated parking,Mon-Fri 9 am-5 pm,Open to everyone,English ; French ; Arabic ; Armenian ; Assyrian ; Dari ; Dutch ; Farsi ; Hindi ; Lithuanian ; Pashto ; Punjabi ; Russian ; Urdu,Drop in or call for appointment,"<b>Settlement Services</b> (formerly Immigrant Settlement and Adaptation Program) and Newcomer Settlement Program -- information and referral * housing and legal assistance * translation and interpretation * escort * counselling for students, individuals and families, liaising with Children's Aid Society * youth counselling and parenting sessions * orientation * settlement * refugee services -- referral and assistance with shelter, attendance at inquiry, employment, social, welfare and legal services * social and cultural activities * Ontario Community Participation -- volunteer placement program for Ontario Works recipients * also offered at 1 Resurrection Rd, 416-533-3292 ; 898 Markham Rd, 416-439-0767<br> <br> 

<b>Youth Services</b> -- settlement program encouraging civic participation and integration through a focus on recreation, sport, and mentorship<br> <br>

<b>Employment Services</b> -- Job Search Workshops (JSW) for new immigrants, Convention refugees or Live-in Caregivers, legally entitled to work in Canada * 3 or 4 day job search techniques workshops, including assessment with a job coach, individual action plan, labour market information, life skills and preemployment workshops with resume preparation, networking * extensive individual assistance<br> <br>

<b>Problem Gambling Program</b> -- culturally appropriate prevention, education and treatment * outreach and public education to community groups * individual or group counselling for gamblers or those affected<br> <br>

<b>Domestic Violence Education Program</b> -- counselling and referral for victims of family violence",42258
2,Etobicoke Children's Centre,(50) Non Profit ; (51) Registered Charity,416-240-1111,ecc@etobicokechildren.com,www.etobicokechildren.com,"Rexdale Mall
2267 Islington Ave, Lower Level
Toronto, ON     M9W 3W7","Elms-Old Rexdale, 5",Unknown,Wed 12:30 pm-8 pm -- last appointment at 6:30 pm,"Children birth-16 years experiencing or at risk for mental health issues, including psycho-social, emotional, behavioural problems, and their families",English ; Interpretation arranged for other languages,"Call or drop in * referral by custodial parent or legal guardian, or self-referral by children/youth 12 years and older with capacity to consent to service","Drop-in counselling services for children and youth experiencing social, emotional, behaviour, learning, communication or relationship difficulties * brief counselling addresses concerns such as parent-child conflict, difficulties at school, behaviour management, peer problems, issues related to separation and divorce, psycho-social adjustment, anxiety, depression, abuse * referral for ongoing service to ECC or other community resources * confidential * no medical services",42045
3,Anishnawbe Health Toronto,(50) Non Profit ; (51) Registered Charity,416-920-2605,info@aht.ca,www.aht.ca,"179 Gerrard St E
Toronto, ON     M5A 2E5","Moss Park, 73","Wheelchair accessible automatic main entrance ; Wheelchair accessible washroom, assistance needed with door ; Limited street parking","Mon, Wed 9 am-8 pm, Tue, Thu-Fri 9 am-5 pm * Mental Health Crisis Line -- Mon-Sun 24 hours",Aboriginal ancestry,English ; some Aboriginal languages,Call or drop in,"Crisis management program and specialized mental health services * Babishkhan Circle of Care, O Tay and Finding My Way Training Program for homeless clients * Community Health Worker Training Program * Toronto Public Health dental clinic for children and seniors, 416-338-6984",42144
4,"Canadian Mental Health Association, Toronto Branch",(50) Non Profit ; (51) Registered Charity,416-789-7957,info@cmha-toronto.net,www.toronto.cmha.ca,"Lawrence Square Mall
700 Lawrence Ave W, Ste 480
Toronto, ON     M6A 3B4","Yorkdale-Glen Park, 31",Designated parking at entrance - parking lot ; Wheelchair accessible automatic main entrance ; Easy access to elevator - lowered buttons ; Barrier-free washroom including door and stall,Mon-Fri 9 am-5 pm,Persons 16 years and older with serious mental health illness * <b>Housing Services</b> -- persons who are homeless or at risk of becoming homeless due to mental illness * may vary -- see specific program,English ; French ; Case Management Services -- also French and Italian,Call 416-789-7957 ext 282 or email tgordon@cmha-toronto.net for intake,"Range of community support services * education and mental health promotion to general community * publications * systemic advocacy<br>
<br>
<b>Services for general community</b>: <br>
<br>
<b>Info, Intake and Referral, 416-789-7957 ext 282 or 416-289-6285, cmha.toronto@sympatico.ca</b> -- telephone information on community support and treatment * referrals to appropriate programs and community agencies<br>
<br>
<b>Public Education, 416-789-7957 ext 260, workshops@cmha-toronto.net</b> -- workshops on understanding mental illness, workplace impact of employee mental health issues, cross-cultural issues and resettlement stress, ASIST Applied Suicide Intervention Training, Stress Sense and Negative Attitudes, Difficult People<br>
<br>
<b>Services for clients, their families and/or friends</b>: <br>
<br>
<b>Case Management Services</b> -- for persons with serious mental illness who require support to live and work in the community * assistance in meeting basic needs (food, shelter, finances), developing skills and accessing community resources <br>
<br>
<b>Community Treatment Order (CTO) Case Management Services</b> -- intensive case management for persons on Community Treatment Orders with serious mental illness who require support to live and work in the community * assistance in improving life skills, meeting basic needs (food, shelter, finances), accessing community resources, and participating in work and social opportunities <br>
<br>
<b>Early Intervention Program (MOD), 416-789-7957 ext 282</b> -- aims to improve services for young persons in early stages of psychosis by enhancing recognition of early signs and symptoms * community based, interdisciplinary, recovery focused clinical service * provision and coordination of treatment, education, case management, support and referrals<br>
<br>
<b>Employment Services, 416-789-7957 ext 231</b> -- access to employment and training for people with mental health illness * comprehensive employment assistance, employment preparation, job coaching, and employment placement and support * includes consumer operated catering and cleaning business<br>
<br>
<b>Holiday Gift Program</b> -- gifts of warm clothing each December to consumers of mental health services * distributed through mental health agencies<br>
<br>
<b>Housing Services</b> -- access to subsidized, shared and single unit housing across Toronto<br>
<br>
<b>Keele Street Women's Group</b> -- social support and rehabilitation program for women who are socially isolated<br>
<br>
<b>Living Life to the Full, www.llttf.ca</b> -- 8 week course using cognitive behavioural therapy (CBT) * individuals develop skills and strategies to deal with stress, anxiety, and/or life transitions and challenges<br>
<br>
<b>Mental Health Court Support and Diversion Program</b> -- Metro West Court * diversion of individuals with serious mental illness from the court system to mental health and community support services * court support worker assistance * consultation available for individuals who do not qualify for diversion -- referrals to mental health and support services to facilitate bail or assist with sentencing<br>
<br>
<b>NAMI Family-to-Family Education Program, 416-789-7957 ext 270</b> -- for family members and friends of people who have serious and persistent mental illness * 12 week course co-taught by trained volunteer family members * includes information about mental illnesses, coping skills for handling crisis and relapse, communication, empathy and listening skills, medications and side effects, self care, rehabilitation, community services and supports, advocacy and fighting discrimination<br>
<br>
<b>West Metro Assertive Community Treatment Team (ACTT)</b> -- community treatment, rehabilitation and support services for persons with serious mental illness who have been involved with the legal system * services provided by multidisciplinary teams<br>
<br>
<b>What Next! Peer Support Drop-in, 416-449-4555</b> -- recreation, arts and crafts, computer classes and information sessions for consumer/survivors * program offered Monday-Tuesday, Thursday-Friday 1 pm-8 pm and Wednesday 10 am-5 pm at 3701 Chesswood Dr, Ste 208, North York",42129
5,Central Toronto Youth Services,(50) Non Profit ; (51) Registered Charity,416-924-2100,mail@ctys.org,www.ctys.org,"65 Wellesley St E, Ste 300
Toronto, ON     M4Y 1G7","Church-Yonge Corridor, 75","Wheelchair accessible automatic main entrance ; Easy access to elevator - lowered buttons ; Wheelchair accessible washroom, assistance needed with door - sink not roll-under and dispensers are high ; All Genders washroom","Office -- Mon-Fri 9 am-6 pm * evening service available for some programs -- call for details * Summer hours:  July and August, 9 am-5 pm","Youth 13-24 years, their families, agencies * may vary by program",English - intake ; Interpreters may be arranged for other languages ; Some translated materials available,"Self, professional or school referral * visit website for information","Mental health centre for youth * treatment, advocacy, research, education * community development projects * visit website for program details<br><br>
<b>Community Counselling</b> -- individual and group counselling for high-risk, hard-to-serve youth * service provided in the home, neighbourhood or school * includes community and school outreach, group programs, and programs for Black youth * assistance in accessing program -- contact intake worker<br><br>

<b>New Outlook</b> -- for youth and young adults 14-24 years with serious mental illness (primarily psychotic disorders) * day program * early intervention and treatment * long-term case management * support and crisis intervention for youth involved with criminal justice system * youth hostel outreach * intake form available online<br><br>

<b>Pride & Prejudice</b> -- for lesbian, gay, bisexual, transsexual, transgender, queer and questioning youth and young adults experiencing depression or anxiety * individual and group counselling -- issues may include gender identity, sexual orientation, traumatic experiences such as childhood abuse or family violence, homophobia, relationship concerns with family and friends * transition support * group programs<br><br>

<b>Youth Justice</b> -- moderate to high-risk youth serving a youth order and/or with matters before youth court * guidance, counselling and comprehensive support * includes court diversion and open custody programs, early release and transition support * probation outreach program * referral from probation officer",42129
6,Centre for Spanish Speaking Peoples,(50) Non Profit ; (51) Registered Charity,416-533-8545,info@spanishservices.org,www.spanishservices.org,"2141 Jane St, 2nd Fl
Toronto, ON     M3M 1A2","Downsview-Roding-CFB, 26",Not Accessible ; Accessible office available by request,Mon-Fri 9 am-5 pm,"Open to all, with focus on Spanish-speaking community",English ; Spanish,"Drop in, call, fax or email","Reception and settlement services * information, counselling and referral * assistance finding housing * help filling citizenship forms or permanent resident card applications * income tax clinic * commissioner of oaths * interpretation and translation services * cultural events, recreation * volunteer opportunities to gain Canadian experience
<br><br>
<b>Women's Program</b>, Intake 416-533-6411 -- for Spanish-speaking women and their children who have experienced domestic abuse * individual crisis counselling and group counselling by telephone or in person * support groups for isolated women and their children * court accompaniment and support * information and orientation about legal rights * workshops * assistance leaving the abusive home, finding transitional housing and applying for social assistance
<br><br>
<b>Seniors' Program</b> -- support group * information and referral * computer classes * guest speakers * recreational and educational activities
<br><br>
<b>Youth Program</b> -- outreach and employment support for youth 13-24 years * counselling and referral * housing help * recreational programs",42170
7,Black Youth Helpline,(50) Non Profit ; (51) Registered Charity,416-285-9944,blackyouth@bellnet.ca,www.blackyouth.ca,,,Not Applicable,Helpline -- Mon-Fri 9 am-9 pm * appointment necessary for in person meetings,Open to all youth with a focus on youth considered at-risk,English,Call or email for appointment,"Culturally appropriate supports and services -- youth situation assessment, coaching, guidance and support * referral navigation support * individual or group support to strengthen parenting skills or to cope with challenges * stay-in-school programs, individual and group * assistance to school staff to address multicultural challenges in the school population",42380
8,Chinese Family Services of Ontario,(50) Non Profit ; (51) Registered Charity,416-979-8299,info@chinesefamilyso.com,www.chinesefamilyso.com,"3330 Midland Ave, Ste 229
Toronto, ON     M1V 5E7","Milliken, 130","Barrier-free washroom including door and stall ; Wheelchair accessible main entrance, assistance needed with door ; Parking lot ; Satellite offices - accessibility varies, call for details","Mon, Wed, Fri 9 am-5 pm; Tue, Thu 9 am-8:30 pm * recorded information line -- Mon-Sun 24 hours","Focus on Chinese community, including youth, women, gays, lesbians, bisexuals, transsexual and transgendered people, seniors, immigrants, and newcomers * Partner Assault Response -- offenders 18 years and older, ordered by the court to attend the program in response to a criminal charge involving domestic violence",English ; Chinese (Cantonese) ; Chinese (Mandarin) ; Interpretation available for other languages,Call or drop in * Partner Assault Response -- call to schedule an intake/assessment meeting,"Counselling, family and settlement services agency<br><br>

<b>Counselling</b> -- individual, group, couple, marital and family counselling for issues such as elder abuse, family violence, wife assault, male batterers, incest, sexual assault, offenders, bereavement, problem gambling, substance abuse * crisis intervention * Youth programs -- counselling and leadership development program for youth 14-24 years * parenting and family life education * Employee Assistance Program * consultation for human service providers * satellite offices in Toronto (340 College Street, Ste 305) and Richmond Hill (15 Wertheim Court, Ste 607)<br><br>

<b>Partner Assault Response (PAR)</b> -- 12 week group education and counselling program on domestic violence and non-abusive ways of resolving conflict * victims/partners of the offender provided with support including safety planning, referrals to community resources, and information on offender’s progress * group counselling in Cantonese, Mandarin and Vietnamese<br><br>

<b>Settlement Program</b> -- orientation and counselling * needs and eligibility assessments * information and referral topics include immigration, issues of concern to refugees and foreign domestic workers, citizenship, social assistance benefits, legal aid, housing, child care, English classes, and education and employment training * interpretation and translation * computer access * job search and employment counselling  * assistance in accessing services<br><br>

<b>Transitional and Housing Support Program</b> -- for women who have experienced violence, and their children * community service information on issues such as housing, legal, financial, health care, immigration, children's services, education, employment * assistance setting up a safety plan * ongoing counselling and support",42129
9,Egale Canada Human Rights Trust,(50) Non Profit ; (51) Registered Charity,416-964-7887 ext 9,outreach@egale.ca,egale.ca/outreach,"183 Carlton St
Toronto, ON     M5A 2K7","Moss Park, 73",Limited wheelchair accessibility - call for details ; Washroom not accessible,Drop-in centre and walk-in counselling -- Mon-Fri 3 pm-7 pm * counselling also by appointment Mon-Fri 11 am-3 pm,"Lesbian, gay, bisexual, trans, intersex, queer, questioning and Two-Spirit (LGBTIQ2S) youth 16-29 years who are homeless, unstably housed, or at risk of homelessness",English,"Call, email or drop in","Drop-in centre and counselling services for LGBTIQ2S youth * intake, assessment and individualized support plan * information and referral -- emergency shelter, housing options * assistance in applying for government health (OHIP) and social assistance programs (OW, ODSP) * assistance in obtaining identification and/or legal support in amending sex markers on official documentation * employment assistance including resume and job search coaching, and referrals * food, TTC tokens and other basic necessities<br><br>

<b>Counselling Centre</b> -- immediate crisis response and counselling * suicide prevention, intervention and follow-up care * individual mental health counselling * group counselling * family counselling * addiction and mental health supports * medical, dental and legal aid referrals * exploration of education opportunities, including high school, postsecondary and trades programs * gender affirmation, community acceptance support and counselling, including transition planning and trans literacy seminars * group discussion, counselling and learning activities",42327
