PublicName / Nom public,AgencyDescription / Descriptiondelorganisme,PhysicalAddress1 / Adressemunicipale1,PhysicalAddress2 / Adressemunicipale2,UpdatedOn / Misàjourle,LanguageOfRecord / Languedudossier,PhysicalCity / Villephysique,PhysicalStateProvince / Étatprovincephysique,PhysicalPostalCode / Codepostal,Latitude / Latitude,Longitude / Longitude,PhoneNumberBusinessLine / Numérodetéléphonedaffaires,PhoneTollFree / Téléphonesansfrais,PhoneTTY / TéléphoneATS,PhoneFax / Télécopieur,WebsiteAddress / Adressedusite Web,Hours / Heures,DisabilitiesAccess/ Accèspourhandicapés,FeeStructureSource / Sourcedeléchelledestarifs,ApplicationProcess / Processusdedemande,Eligibility / Admissibilité,LanguagesOfferedList / Listedeslanguesoffertes,Coverage / Portée
"Family, Youth and Child Services of Muskoka - Child and Youth Mental Health Services - Bracebridge",Short or long term family counselling services for children and youth and their families.,49 Pine Street,,May  7 2014  8:20:57,English,Bracebridge,ON,P1L 1K8,45.0527678,-79.299889,705-645-4426,1-800-680-4426,,705-645-1905,http://www.fycsm.ca/,Mon 8:30am-4:30pm * Tue 8:30am-4:30pm * Wed 8:30am-4:30pm * Thu 8:30am-4:30pm * Fri 8:30am-4:30pm *  First Sunday in April to last Sunday in October 8:30 to 4:00 Monday to Friday.  Phones are answered 24/7 for emergencies.,Not applicable,Free,Self Referral and Appointment Required No Documentation Required,Children and youth 5-17.,English,"Bracebridge, Muskoka"
"Family, Youth and Child Services of Muskoka - Child and Youth Mental Health Services - Bracebridge","Services de counselling de courte durée et de longue durée pour les enfants, les jeunes et leurs familles.","49, rue Pine",,May  7 2014  8:20:57,French,Bracebridge,ON,P1L 1K8,45.0527678,-79.299889,705-645-4426,1-800-680-4426,,705-645-1905,http://www.fycsm.ca/,"Lun 8h30-16h30 * Mar 8h30-16h30 * Mer 8h30-16h30 * Jeu 8h30-16h30 * Ven 8h30-16h30 *  Heures d'ouverture du premier dimanche du mois d'avril au dernier dimanche du mois d'octobre: Lundi-vendredi, 8:30am-4:00pm.",Pas applicable,Gratuit,Accès sans recommendation et Rendez-vous requis Aucuns documents requis,Enfants et jeunes de 5-17 ans.,anglais,"Bracebridge, Muskoka"
"Halton Family Services - Youth Individual, Group and Family Counselling - Oakville","Offers Individual, group and family mental health counselling to youths and their families. *",235 Lakeshore Road East,,Sep 26 2014  8:59:01,English,Oakville,ON,L6J 7R4,43.479357,-79.720756,905-845-3811,,,905-845-3537,http://www.haltonfamilyservices.org,Mon 9am-9pm * Tue 9am-9pm * Wed 9am-9pm * Thu 9am-5pm *,Wheelchair accessible,Sliding Scale,Appointment Required Documents not specified - inquire for more information,"Children, youths and their families.","English, French, Spanish, Italian, Portuguese",
"Halton Family Services - Youth Individual, Group and Family Counselling - Oakville","Offre des services de counselling individuel, en familles ou en groupes aux enfants, jeunes et leurs familles.",235 chemin Lakeshore Est,,Sep 26 2014  8:59:01,French,Oakville,ON,L6J 7R4,43.479357,-79.720756,905-845-3811,,,905-845-3537,http://www.haltonfamilyservices.org,Lun 9h-21h * Mar 9h-21h * Mer 9h-21h * Jeu 9h-17h *,Entièrement accessible,Échelle Mobile,Rendez-vous requis Documents nécessaires n’ont pas été spécifiés – se renseigner pour plus d’information,"Enfants, jeunes, et leurs familles.","anglais, français, espagnol, italien, portugais",
York Support Services Network - Mental Health Services - Central Office,Offers services to youth who have been diagnosed with a serious mental illness.,25 Millard Avenue West,,May 12 2014  4:50:00,English,Newmarket,ON,L3Y 7R6,44.0509412,-79.4806547,905-898-3721 ext 2278,1-888-695-0070 ext 2278,,,http://www.yssn.ca/,Mon 8:30am-4:30pm * Tue 8:30am-4:30pm * Wed 8:30am-4:30pm * Thu 8:30am-4:30pm * Fri 8:30am-4:30pm *,Not applicable,Free,Self Referral No Documentation Required,Offers services to youth 16 and older in York region who have been diagnosed with a serious mental illness.,English,"YorkNewmarket, York"
York Support Services Network - Mental Health Services - Central Office,Offre des services aux jeunes qui ont été diagnostiqué et qui sont affectés par une maladie mentale sérieuse.,"25, avenue Millard ouest",,May 12 2014  4:50:00,French,Newmarket,ON,L3Y 7R6,44.0509412,-79.4806547,905-898-3721 ext 2278,1-888-695-0070 ext 2278,,,http://www.yssn.ca/,Lun 8h30-16h30 * Mar 8h30-16h30 * Mer 8h30-16h30 * Jeu 8h30-16h30 * Ven 8h30-16h30 *,Pas applicable,Gratuit,Accès sans recommandation Aucuns documents requis,Jeunes de 16 ans et plus qui habitant la région de York.,anglais,"YorkNewmarket, York"
York Support Services Network - Mental Health - South Office,Offers services to youth who have been diagnosed with a serious mental illness.,50 McIntosh Drive,Suite 239,May 12 2014  5:57:52,English,Markham,ON,L3R 9T3,43.8553275,-79.3575656,905-898-3721 ext 2278,1-888-695-0070 ext 2278,,,https://www.yssn.ca/,Mon 8:30am-4:30pm * Tue 8:30am-4:30pm * Wed 8:30am-4:30pm * Thu 8:30am-4:30pm * Fri 8:30am-4:30pm *,Not applicable,Free,Self Referral No Documentation Required,Offers services to youth 16 and older in York region  who have been diagnosed with a serious mental illness.,English,"YorkMarkham, York, York South"
York Support Services Network - Mental Health - South Office,Offre des services aux jeunes qui ont été diagnostiqué et qui sont affectés par une maladie mentale sérieuse.,"50, promenade McIntosh",Suite 239,May 12 2014  5:57:52,French,Markham,ON,L3R 9T3,43.8553275,-79.3575656,905-898-3721 ext 2278,1-888-695-0070 ext 2278,,,https://www.yssn.ca/,Lun 8h30-16h30 * Mar 8h30-16h30 * Mer 8h30-16h30 * Jeu 8h30-16h30 * Ven 8h30-16h30 *,Pas applicable,Gratuit,Accès sans recommandation Aucuns documents requis,Jeunes de 16 ans et plus qui habitent la région de York.,anglais,"YorkMarkham, York"
"Halton Family Services - Youth Individual, Group and Family Counselling - Burlington","Offers Individual, group and family mental health counselling to youths and their families. *",720 Guelph Line,Suite 306,Sep 26 2014  9:05:00,English,Burlington,ON,L7R 4E2,43.343798,-79.792859,905-845-3811,,,905-845-3537,http://www.haltonfamilyservices.org,By appointment only.,Wheelchair accessible,Sliding Scale,Appointment Required Documents not specified - inquire for more information,"Children, youth and their families.","English, French, Spanish, Italian, Portuguese","HaltonBurlington, Hamilton"
"Halton Family Services - Youth Individual, Group and Family Counselling - Burlington","Offre des services de counselling individuel, en familles ou en groupes aux enfants, jenes et leurs familles.",720 allée Guelph,suite 306,Sep 26 2014  9:05:00,French,Burlington,ON,L7R 4E2,43.343798,-79.792859,905-845-3811,,,905-845-3537,http://www.haltonfamilyservices.org,Par rendez-vous seulement,Entièrement accessible,Échelle Mobile,Rendez-vous requis Documents nécessaires n’ont pas été spécifiés – se renseigner pour plus d’information,"Enfants, jeunes, et leurs familles.","anglais, français, espagnol, italien, portugais","HaltonBurlington, Hamilton"
