,,,"Halton, Regional municipality [Census division], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Population and dwellings","Population; 2016",1,  548435,,,...,,...,13448494,,,...,,...
"Population and dwellings","Population; 2011",1,  501674,r,,...,,...,12851821,,,...,,...
"Population and dwellings","Population percentage change; 2011 to 2016",,      9.3,,,...,,...,      4.6,,,...,,...
"Population and dwellings","Total private dwellings",2,  198164,,,...,,..., 5598391,,,...,,...
"Population and dwellings","Private dwellings occupied by usual residents",3,  192977,,,...,,..., 5169174,,,...,,...
"Population and dwellings","Population density per square kilometre",,  568.9,,,...,,...,   14.8,,,...,,...
"Population and dwellings","Land area in square kilometres",,    964.05,,,...,,..., 908699.33,,,...,,...
"Age characteristics","Total - Age groups and average age of the population - 100% data",4,  548435,,  266350,,  282085,,13448495,, 6559390,, 6889105,
"Age characteristics","  0 to 14 years",,  107215,,   54955,,   52260,, 2207970,, 1131615,, 1076350,
"Age characteristics","    0 to 4 years",,   30600,,   15665,,   14935,,  697360,,  357300,,  340055,
"Age characteristics","    5 to 9 years",,   37970,,   19425,,   18550,,  756085,,  387320,,  368765,
"Age characteristics","    10 to 14 years",,   38640,,   19870,,   18775,,  754530,,  387000,,  367530,
"Age characteristics","  15 to 64 years",,  359410,,  175205,,  184205,, 8988865,, 4412115,, 4576750,
"Age characteristics","    15 to 19 years",,   36440,,   18625,,   17815,,  811670,,  416730,,  394945,
"Age characteristics","    20 to 24 years",,   31910,,   16620,,   15290,,  894390,,  457815,,  436570,
"Age characteristics","    25 to 29 years",,   26185,,   13025,,   13165,,  874350,,  436345,,  438010,
"Age characteristics","    30 to 34 years",,   30420,,   14000,,   16420,,  864765,,  420800,,  443965,
"Age characteristics","    35 to 39 years",,   37930,,   17475,,   20460,,  842485,,  402900,,  439585,
"Age characteristics","    40 to 44 years",,   43580,,   20915,,   22660,,  871875,,  418465,,  453415,
"Age characteristics","    45 to 49 years",,   44370,,   21640,,   22730,,  937385,,  453105,,  484275,
"Age characteristics","    50 to 54 years",,   43045,,   21150,,   21895,, 1056345,,  517170,,  539175,
"Age characteristics","    55 to 59 years",,   36820,,   18125,,   18695,,  989460,,  482280,,  507180,
"Age characteristics","    60 to 64 years",,   28700,,   13630,,   15070,,  846145,,  406505,,  439640,
"Age characteristics","  65 years and over",,   81810,,   36190,,   45620,, 2251655,, 1015655,, 1236000,
"Age characteristics","    65 to 69 years",,   25465,,   11735,,   13725,,  737745,,  352475,,  385270,
"Age characteristics","    70 to 74 years",,   19665,,    9120,,   10545,,  528645,,  250455,,  278185,
"Age characteristics","    75 to 79 years",,   14640,,    6655,,    7985,,  393010,,  179810,,  213195,
"Age characteristics","    80 to 84 years",,   10795,,    4630,,    6165,,  291185,,  126825,,  164360,
"Age characteristics","    85 years and over",,   11245,,    4050,,    7190,,  301075,,  106090,,  194985,
"Age characteristics","      85 to 89 years",,    7110,,    2820,,    4290,,  188470,,   73045,,  115425,
"Age characteristics","      90 to 94 years",,    3310,,    1045,,    2265,,   88390,,   27400,,   60990,
"Age characteristics","      95 to 99 years",,     720,,     175,,     550,,   21210,,    5150,,   16060,
"Age characteristics","      100 years and over",,     100,,      15,,      85,,    3005,,     495,,    2520,
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,
"Age characteristics","  0 to 14 years",,   19.5,,   20.6,,   18.5,,   16.4,,   17.3,,   15.6,
"Age characteristics","  15 to 64 years",,   65.5,,   65.8,,   65.3,,   66.8,,   67.3,,   66.4,
"Age characteristics","  65 years and over",,   14.9,,   13.6,,   16.2,,   16.7,,   15.5,,   17.9,
"Age characteristics","    85 years and over",,    2.1,,    1.5,,    2.5,,    2.2,,    1.6,,    2.8,
"Age characteristics","Average age of the population",,   39.4,,   38.4,,   40.4,,   41.0,,   40.0,,   41.9,
"Age characteristics","Median age of the population",,   40.5,,   39.6,,   41.3,,   41.3,,   40.2,,   42.4,
"Household and dwelling characteristics","Total - Occupied private dwellings by structural type of dwelling - 100% data",5,  192980,,,...,,..., 5169175,,,...,,...
"Household and dwelling characteristics","  Single-detached house",,  112875,,,...,,..., 2807380,,,...,,...
