,,,"Lanark, County [Census division], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Population and dwellings","Population; 2016",1,   68698,,,...,,...,13448494,,,...,,...
"Population and dwellings","Population; 2011",1,   65667,,,...,,...,12851821,,,...,,...
"Population and dwellings","Population percentage change; 2011 to 2016",,      4.6,,,...,,...,      4.6,,,...,,...
"Population and dwellings","Total private dwellings",2,   32695,,,...,,..., 5598391,,,...,,...
"Population and dwellings","Private dwellings occupied by usual residents",3,   28580,,,...,,..., 5169174,,,...,,...
"Population and dwellings","Population density per square kilometre",,   22.6,,,...,,...,   14.8,,,...,,...
"Population and dwellings","Land area in square kilometres",,   3035.64,,,...,,..., 908699.33,,,...,,...
"Age characteristics","Total - Age groups and average age of the population - 100% data",4,   68700,,   33385,,   35310,,13448495,, 6559390,, 6889105,
"Age characteristics","  0 to 14 years",,   10345,,    5270,,    5075,, 2207970,, 1131615,, 1076350,
"Age characteristics","    0 to 4 years",,    3285,,    1665,,    1615,,  697360,,  357300,,  340055,
"Age characteristics","    5 to 9 years",,    3520,,    1810,,    1705,,  756085,,  387320,,  368765,
"Age characteristics","    10 to 14 years",,    3550,,    1790,,    1755,,  754530,,  387000,,  367530,
"Age characteristics","  15 to 64 years",,   43255,,   21140,,   22115,, 8988865,, 4412115,, 4576750,
"Age characteristics","    15 to 19 years",,    3695,,    1870,,    1825,,  811670,,  416730,,  394945,
"Age characteristics","    20 to 24 years",,    3390,,    1810,,    1580,,  894390,,  457815,,  436570,
"Age characteristics","    25 to 29 years",,    3370,,    1675,,    1695,,  874350,,  436345,,  438010,
"Age characteristics","    30 to 34 years",,    3585,,    1740,,    1850,,  864765,,  420800,,  443965,
"Age characteristics","    35 to 39 years",,    3350,,    1645,,    1705,,  842485,,  402900,,  439585,
"Age characteristics","    40 to 44 years",,    3880,,    1850,,    2030,,  871875,,  418465,,  453415,
"Age characteristics","    45 to 49 years",,    4340,,    2075,,    2265,,  937385,,  453105,,  484275,
"Age characteristics","    50 to 54 years",,    5820,,    2845,,    2980,, 1056345,,  517170,,  539175,
