,,,"Oxford, County [Census division], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Population and dwellings","Population; 2016",1,  110862,,,...,,...,13448494,,,...,,...
"Population and dwellings","Population; 2011",1,  105719,,,...,,...,12851821,,,...,,...
"Population and dwellings","Population percentage change; 2011 to 2016",,      4.9,,,...,,...,      4.6,,,...,,...
"Population and dwellings","Total private dwellings",2,   45350,,,...,,..., 5598391,,,...,,...
"Population and dwellings","Private dwellings occupied by usual residents",3,   44266,,,...,,..., 5169174,,,...,,...
"Population and dwellings","Population density per square kilometre",,   54.4,,,...,,...,   14.8,,,...,,...
"Population and dwellings","Land area in square kilometres",,   2039.61,,,...,,..., 908699.33,,,...,,...
"Age characteristics","Total - Age groups and average age of the population - 100% data",4,  110860,,   54745,,   56115,,13448495,, 6559390,, 6889105,
"Age characteristics","  0 to 14 years",,   19720,,   10140,,    9580,, 2207970,, 1131615,, 1076350,
"Age characteristics","    0 to 4 years",,    6465,,    3290,,    3175,,  697360,,  357300,,  340055,
"Age characteristics","    5 to 9 years",,    6620,,    3420,,    3205,,  756085,,  387320,,  368765,
"Age characteristics","    10 to 14 years",,    6625,,    3435,,    3195,,  754530,,  387000,,  367530,
"Age characteristics","  15 to 64 years",,   70460,,   35280,,   35180,, 8988865,, 4412115,, 4576750,
"Age characteristics","    15 to 19 years",,    6720,,    3445,,    3275,,  811670,,  416730,,  394945,
"Age characteristics","    20 to 24 years",,    6430,,    3290,,    3135,,  894390,,  457815,,  436570,
"Age characteristics","    25 to 29 years",,    6360,,    3200,,    3160,,  874350,,  436345,,  438010,
"Age characteristics","    30 to 34 years",,    6640,,    3395,,    3245,,  864765,,  420800,,  443965,
"Age characteristics","    35 to 39 years",,    6560,,    3295,,    3265,,  842485,,  402900,,  439585,
"Age characteristics","    40 to 44 years",,    6695,,    3350,,    3345,,  871875,,  418465,,  453415,
"Age characteristics","    45 to 49 years",,    7005,,    3535,,    3470,,  937385,,  453105,,  484275,
"Age characteristics","    50 to 54 years",,    8500,,    4155,,    4340,, 1056345,,  517170,,  539175,
"Age characteristics","    55 to 59 years",,    8265,,    4035,,    4235,,  989460,,  482280,,  507180,
"Age characteristics","    60 to 64 years",,    7285,,    3590,,    3695,,  846145,,  406505,,  439640,
"Age characteristics","  65 years and over",,   20680,,    9325,,   11355,, 2251655,, 1015655,, 1236000,
"Age characteristics","    65 to 69 years",,    6495,,    3115,,    3385,,  737745,,  352475,,  385270,
"Age characteristics","    70 to 74 years",,    4870,,    2320,,    2550,,  528645,,  250455,,  278185,
"Age characteristics","    75 to 79 years",,    3705,,    1725,,    1980,,  393010,,  179810,,  213195,
"Age characteristics","    80 to 84 years",,    2790,,    1165,,    1625,,  291185,,  126825,,  164360,
"Age characteristics","    85 years and over",,    2825,,    1000,,    1820,,  301075,,  106090,,  194985,
"Age characteristics","      85 to 89 years",,    1790,,     710,,    1085,,  188470,,   73045,,  115425,
"Age characteristics","      90 to 94 years",,     800,,     240,,     560,,   88390,,   27400,,   60990,
"Age characteristics","      95 to 99 years",,     210,,      50,,     155,,   21210,,    5150,,   16060,
"Age characteristics","      100 years and over",,      30,,       5,,      20,,    3005,,     495,,    2520,
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,
"Age characteristics","  0 to 14 years",,   17.8,,   18.5,,   17.1,,   16.4,,   17.3,,   15.6,
"Age characteristics","  15 to 64 years",,   63.6,,   64.4,,   62.7,,   66.8,,   67.3,,   66.4,
"Age characteristics","  65 years and over",,   18.7,,   17.0,,   20.2,,   16.7,,   15.5,,   17.9,
"Age characteristics","    85 years and over",,    2.5,,    1.8,,    3.2,,    2.2,,    1.6,,    2.8,
"Age characteristics","Average age of the population",,   41.5,,   40.4,,   42.6,,   41.0,,   40.0,,   41.9,
"Age characteristics","Median age of the population",,   42.3,,   40.9,,   43.6,,   41.3,,   40.2,,   42.4,
"Household and dwelling characteristics","Total - Occupied private dwellings by structural type of dwelling - 100% data",5,   44265,,,...,,..., 5169175,,,...,,...
"Household and dwelling characteristics","  Single-detached house",,   31955,,,...,,..., 2807380,,,...,,...
"Household and dwelling characteristics","  Apartment in a building that has five or more storeys",,    1925,,,...,,...,  886705,,,...,,...
"Household and dwelling characteristics","  Other attached dwelling",6,   10155,,,...,,..., 1460200,,,...,,...
"Household and dwelling characteristics","    Semi-detached house",,    2325,,,...,,...,  289975,,,...,,...
"Household and dwelling characteristics","    Row house",,    2680,,,...,,...,  460425,,,...,,...
"Household and dwelling characteristics","    Apartment or flat in a duplex",,     790,,,...,,...,  176080,,,...,,...
"Household and dwelling characteristics","    Apartment in a building that has fewer than five storeys",,    4255,,,...,,...,  522810,,,...,,...
"Household and dwelling characteristics","    Other single-attached house",,     110,,,...,,...,   10910,,,...,,...
"Household and dwelling characteristics","  Movable dwelling",7,     225,,,...,,...,   14890,,,...,,...
