,,,"Toronto, Census division [Census division], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Population and dwellings","Population; 2016",1, 2731571,,,...,,...,13448494,,,...,,...
"Population and dwellings","Population; 2011",1, 2615060,,,...,,...,12851821,,,...,,...
"Population and dwellings","Population percentage change; 2011 to 2016",,      4.5,,,...,,...,      4.6,,,...,,...
"Population and dwellings","Total private dwellings",2, 1179057,,,...,,..., 5598391,,,...,,...
"Population and dwellings","Private dwellings occupied by usual residents",3, 1112929,,,...,,..., 5169174,,,...,,...
"Population and dwellings","Population density per square kilometre",, 4334.4,,,...,,...,   14.8,,,...,,...
"Population and dwellings","Land area in square kilometres",,    630.20,,,...,,..., 908699.33,,,...,,...
"Age characteristics","Total - Age groups and average age of the population - 100% data",4, 2731570,, 1313590,, 1417985,,13448495,, 6559390,, 6889105,
"Age characteristics","  0 to 14 years",,  398135,,  204190,,  193945,, 2207970,, 1131615,, 1076350,
"Age characteristics","    0 to 4 years",,  136000,,   69895,,   66105,,  697360,,  357300,,  340055,
"Age characteristics","    5 to 9 years",,  135025,,   69350,,   65680,,  756085,,  387320,,  368765,
"Age characteristics","    10 to 14 years",,  127110,,   64945,,   62165,,  754530,,  387000,,  367530,
"Age characteristics","  15 to 64 years",, 1906495,,  925070,,  981425,, 8988865,, 4412115,, 4576750,
"Age characteristics","    15 to 19 years",,  145525,,   74240,,   71285,,  811670,,  416730,,  394945,
"Age characteristics","    20 to 24 years",,  194745,,   97415,,   97330,,  894390,,  457815,,  436570,
"Age characteristics","    25 to 29 years",,  232950,,  113905,,  119040,,  874350,,  436345,,  438010,
"Age characteristics","    30 to 34 years",,  224575,,  108895,,  115675,,  864765,,  420800,,  443965,
"Age characteristics","    35 to 39 years",,  196305,,   94070,,  102240,,  842485,,  402900,,  439585,
"Age characteristics","    40 to 44 years",,  182390,,   86535,,   95860,,  871875,,  418465,,  453415,
"Age characteristics","    45 to 49 years",,  190925,,   90860,,  100065,,  937385,,  453105,,  484275,
"Age characteristics","    50 to 54 years",,  202410,,   98735,,  103670,, 1056345,,  517170,,  539175,
