,,,"Wellington, County [Census division], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Population and dwellings","Population; 2016",1,  222726,,,...,,...,13448494,,,...,,...
"Population and dwellings","Population; 2011",1,  208360,,,...,,...,12851821,,,...,,...
"Population and dwellings","Population percentage change; 2011 to 2016",,      6.9,,,...,,...,      4.6,,,...,,...
"Population and dwellings","Total private dwellings",2,   90846,,,...,,..., 5598391,,,...,,...
"Population and dwellings","Private dwellings occupied by usual residents",3,   85281,,,...,,..., 5169174,,,...,,...
"Population and dwellings","Population density per square kilometre",,   83.7,,,...,,...,   14.8,,,...,,...
"Population and dwellings","Land area in square kilometres",,   2660.57,,,...,,..., 908699.33,,,...,,...
"Age characteristics","Total - Age groups and average age of the population - 100% data",4,  222725,,  109540,,  113185,,13448495,, 6559390,, 6889105,
"Age characteristics","  0 to 14 years",,   39125,,   20180,,   18945,, 2207970,, 1131615,, 1076350,
"Age characteristics","    0 to 4 years",,   12635,,    6545,,    6095,,  697360,,  357300,,  340055,
"Age characteristics","    5 to 9 years",,   13235,,    6775,,    6465,,  756085,,  387320,,  368765,
"Age characteristics","    10 to 14 years",,   13255,,    6865,,    6395,,  754530,,  387000,,  367530,
"Age characteristics","  15 to 64 years",,  147815,,   73280,,   74540,, 8988865,, 4412115,, 4576750,
"Age characteristics","    15 to 19 years",,   14200,,    7225,,    6965,,  811670,,  416730,,  394945,
"Age characteristics","    20 to 24 years",,   15445,,    7820,,    7630,,  894390,,  457815,,  436570,
"Age characteristics","    25 to 29 years",,   14235,,    7155,,    7085,,  874350,,  436345,,  438010,
"Age characteristics","    30 to 34 years",,   14010,,    6870,,    7145,,  864765,,  420800,,  443965,
"Age characteristics","    35 to 39 years",,   13460,,    6635,,    6825,,  842485,,  402900,,  439585,
"Age characteristics","    40 to 44 years",,   14250,,    6935,,    7315,,  871875,,  418465,,  453415,
"Age characteristics","    45 to 49 years",,   15180,,    7495,,    7685,,  937385,,  453105,,  484275,
"Age characteristics","    50 to 54 years",,   17405,,    8715,,    8695,, 1056345,,  517170,,  539175,
"Age characteristics","    55 to 59 years",,   16135,,    7885,,    8250,,  989460,,  482280,,  507180,
"Age characteristics","    60 to 64 years",,   13485,,    6540,,    6940,,  846145,,  406505,,  439640,
"Age characteristics","  65 years and over",,   35785,,   16080,,   19705,, 2251655,, 1015655,, 1236000,
"Age characteristics","    65 to 69 years",,   11655,,    5525,,    6130,,  737745,,  352475,,  385270,
"Age characteristics","    70 to 74 years",,    8305,,    3905,,    4400,,  528645,,  250455,,  278185,
"Age characteristics","    75 to 79 years",,    6090,,    2730,,    3360,,  393010,,  179810,,  213195,
"Age characteristics","    80 to 84 years",,    4585,,    2090,,    2490,,  291185,,  126825,,  164360,
"Age characteristics","    85 years and over",,    5145,,    1820,,    3325,,  301075,,  106090,,  194985,
"Age characteristics","      85 to 89 years",,    3310,,    1335,,    1975,,  188470,,   73045,,  115425,
"Age characteristics","      90 to 94 years",,    1475,,     410,,    1065,,   88390,,   27400,,   60990,
"Age characteristics","      95 to 99 years",,     330,,      75,,     260,,   21210,,    5150,,   16060,
"Age characteristics","      100 years and over",,      35,,       5,,      30,,    3005,,     495,,    2520,
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,
"Age characteristics","  0 to 14 years",,   17.6,,   18.4,,   16.7,,   16.4,,   17.3,,   15.6,
"Age characteristics","  15 to 64 years",,   66.4,,   66.9,,   65.9,,   66.8,,   67.3,,   66.4,
"Age characteristics","  65 years and over",,   16.1,,   14.7,,   17.4,,   16.7,,   15.5,,   17.9,
"Age characteristics","    85 years and over",,    2.3,,    1.7,,    2.9,,    2.2,,    1.6,,    2.8,
"Age characteristics","Average age of the population",,   40.2,,   39.2,,   41.1,,   41.0,,   40.0,,   41.9,
"Age characteristics","Median age of the population",,   40.3,,   39.2,,   41.4,,   41.3,,   40.2,,   42.4,
"Household and dwelling characteristics","Total - Occupied private dwellings by structural type of dwelling - 100% data",5,   85280,,,...,,..., 5169175,,,...,,...
"Household and dwelling characteristics","  Single-detached house",,   53685,,,...,,..., 2807380,,,...,,...
"Household and dwelling characteristics","  Apartment in a building that has five or more storeys",,    5655,,,...,,...,  886705,,,...,,...
"Household and dwelling characteristics","  Other attached dwelling",6,   25540,,,...,,..., 1460200,,,...,,...
"Household and dwelling characteristics","    Semi-detached house",,    3455,,,...,,...,  289975,,,...,,...
"Household and dwelling characteristics","    Row house",,    8300,,,...,,...,  460425,,,...,,...
"Household and dwelling characteristics","    Apartment or flat in a duplex",,    3750,,,...,,...,  176080,,,...,,...
"Household and dwelling characteristics","    Apartment in a building that has fewer than five storeys",,    9815,,,...,,...,  522810,,,...,,...
"Household and dwelling characteristics","    Other single-attached house",,     220,,,...,,...,   10910,,,...,,...
"Household and dwelling characteristics","  Movable dwelling",7,     400,,,...,,...,   14890,,,...,,...
"Household and dwelling characteristics","Total - Private households by household size - 100% data",8,   85280,,,...,,..., 5169170,,,...,,...
"Household and dwelling characteristics","  1 person",,   20745,,,...,,..., 1341300,,,...,,...
"Household and dwelling characteristics","  2 persons",,   29525,,,...,,..., 1693525,,,...,,...
"Household and dwelling characteristics","  3 persons",,   13405,,,...,,...,  834260,,,...,,...
"Household and dwelling characteristics","  4 persons",,   13525,,,...,,...,  796320,,,...,,...
"Household and dwelling characteristics","  5 or more persons",,    8085,,,...,,...,  503775,,,...,,...
"Household and dwelling characteristics","Number of persons in private households",,  219420,,,...,,...,13242160,,,...,,...
"Household and dwelling characteristics","Average household size",,    2.6,,,...,,...,    2.6,,,...,,...
"Marital status","Total - Marital status for the population aged 15 years and over - 100% data",9,  183600,,   89360,,   94245,,11240525,, 5427775,, 5812750,
"Marital status","  Married or living common law",,  110160,,   55045,,   55120,, 6438085,, 3219290,, 3218795,
"Marital status","    Married",,   92910,,   46435,,   46475,, 5531930,, 2764275,, 2767655,
"Marital status","    Living common law",,   17250,,    8610,,    8645,,  906155,,  455015,,  451145,
"Marital status","  Not married and not living common law",,   73440,,   34315,,   39125,, 4802440,, 2208485,, 2593955,
"Marital status","    Never married",,   48670,,   26115,,   22555,, 3182785,, 1689180,, 1493605,
"Marital status","    Separated",,    5015,,    2195,,    2820,,  328675,,  138140,,  190535,
"Marital status","    Divorced",,    9715,,    3875,,    5835,,  653835,,  252900,,  400935,
"Marital status","    Widowed",,   10040,,    2130,,    7915,,  637150,,  128265,,  508880,
"Family characteristics","Total - Census families in private households by family size - 100% data",10,   62840,,,...,,..., 3782540,,,...,,...
"Family characteristics","  2 persons",,   30705,,,...,,..., 1815000,,,...,,...
"Family characteristics","  3 persons",,   13035,,,...,,...,  844545,,,...,,...
"Family characteristics","  4 persons",,   13055,,,...,,...,  792435,,,...,,...
"Family characteristics","  5 or more persons",,    6050,,,...,,...,  330560,,,...,,...
"Family characteristics","Average size of census families",,    3.0,,,...,,...,    2.9,,,...,,...
"Family characteristics","Total number of census families in private households - 100% data",11,   62840,,,...,,..., 3782545,,,...,,...
"Family characteristics","  Total couple families",,   54145,,,...,,..., 3137570,,,...,,...
"Family characteristics","    Married couples",,   45520,,,...,,..., 2684735,,,...,,...
"Family characteristics","    Common-law couples",,    8625,,,...,,...,  452840,,,...,,...
"Family characteristics","  Total lone-parent families by sex of parent",,    8690,,,...,,...,  644975,,,...,,...
"Family characteristics","    Female parent",,    6775,,,...,,...,  518480,,,...,,...
"Family characteristics","    Male parent",,    1920,,,...,,...,  126495,,,...,,...
"Family characteristics","Total - Couple census families in private households - 100% data",,   54145,,,...,,..., 3137565,,,...,,...
"Family characteristics","  Couples without children",,   25540,,,...,,..., 1428575,,,...,,...
"Family characteristics","  Couples with children",,   28605,,,...,,..., 1708995,,,...,,...
"Family characteristics","    1 child",,   10415,,,...,,...,  658305,,,...,,...
"Family characteristics","    2 children",,   12350,,,...,,...,  738710,,,...,,...
"Family characteristics","    3 or more children",,    5840,,,...,,...,  311975,,,...,,...
"Family characteristics","Total - Lone-parent census families in private households - 100% data",,    8695,,,...,,...,  644975,,,...,,...
"Family characteristics","  1 child",,    5165,,,...,,...,  386425,,,...,,...
