,AgencyName,LegalStatus,OfficePhone,EMail,Website,Address,Neighbourhood,Accessibility,Hours,Eligibility,Languages,Application,DescriptionService,DateUpdated
0,Covenant House Toronto,(50) Non Profit ; (51) Registered Charity,416-598-4898,general@covenanthouse.ca,www.covenanthousetoronto.ca,"20 Gerrard St E
Toronto, ON     M5B 2P3","Bay Street Corridor, 76","Designated parking at entrance - unloading only ; Easy access to elevator - side entrance ; Barrier-free washroom including door and stall - main program area ; Wheelchair accessible washroom, assistance needed with door - 3rd floor ; Wheelchair accessible shower and bathroom stalls - girls residential floor","Emergency Intake -- Mon-Sun 24 hours<br>
<b>Drop-in</b> -- Mon-Tue, Thu 1:15 pm-7 pm; Wed 1:15 pm-8 pm; Fri 1:15 pm-5 pm<br>
<b>Food bank</b> -- Fri 1:30 pm-4:30 pm<br>
<b>Meal programs:</b>  lunch -- Mon-Tue, Thu 1:15 pm-4 pm * supper -- Mon-Thu 4 pm-7 pm, Fri 3 pm-5 pm<br>
<b> Health Care Services</b> -- Mon-Fri 7:30 am-3 pm * family practice doctor Mon, Thu mornings * psychiatrist Tue afternoon and Wed morning<br>
<b>ID clinic</b> -- Thu 1 pm-3 pm, sign in by 2:30 pm",Homeless and runaway youth 16-24 years,English ; French ; Spanish ; Other languages may be available,"Call or drop in * food bank -- at initial intake assessment discussion, income and address information, and identification for household members, may be requested -- call for details","Crisis intervention centre * residential, non-residential and community support services * education * pastoral ministry * runaway prevention program * day program * community youth meal programs<br><br>

<b>Community Support Services, 416-204-7037</b> -- drop-in for ex-residents and non-residents * hot meal or food package (member of Daily Bread Food Bank) * clothing * hygiene necessities * showers * assessment and referrals * counselling * health care * housing help * literacy * life skills * assistance in finding and keeping a job * legal resources * recreation * street outreach * ID clinic<br><br>

<b>Health Care Services</b> -- primary medical care * diagnostic services * health education * assistance in obtaining medical coverage * referrals * access to family practice doctor and psychiatrist<br><br>

<b><a href=""http://Cov4Youth.ca"">Cov4Youth.ca</a></b>, help@covenanthouse.ca -- online information, fact sheets and advice on youth issues and homelessness * searchable resource directory of services",2015-08-28
1,Daily Bread Food Bank,(50) Non Profit ; (51) Registered Charity,416-203-0050,info@dailybread.ca,www.dailybread.ca,"191 New Toronto St
Toronto, ON     M8V 2E7","New Toronto, 18",Wheelchair accessible automatic main entrance ; Call for details,"Office, warehouse -- Mon-Fri 8:30 am-4:30 pm * <b>Information and Referral Centre</b> -- Mon, Thu-Fri 11 am-3 pm, Tues-Wed 1 pm-5 pm * <b>Allan Gardens Food Bank and New Toronto Street Food Bank</b> -- see separate entries",,English ; Other languages may be available,Call early morning for referral to local food bank,"<b>Food Assistance and Information and Referral Centre</b> -- referrals to local food banks and meal programs for persons in need of food * information, referral, advocacy and crisis support related to income supports and government entitlements (such as Ontario Works, Ontario Disability Support Program) * community services related to housing, legal, mental health, abuse and other issues * volunteer opportunities<br><br> 

<b>Food Distribution and Coordination</b> -- collects, stores, distributes food to over 130 social service agencies * supports food programs that provide meals or groceries to people in need across the Greater Toronto Area<br><br> 

<b>Fundraising and Development, Public Education</b> -- public education, research and initiatives on hunger, poverty and reducing need for food bank use * conducts public food drives * online <a href=""http://www.dailybread.ca/donate"">food donation</a> via credit card available<br><br> 

<b>Allan Gardens Food Bank and New Toronto Street Food Bank</b> -- see separate entries",2015-07-29
2,FoodShare Toronto,(50) Non Profit ; (51) Registered Charity,416-363-6441,info@foodshare.net,www.foodshare.net,"90 Croatia St
Toronto, ON     M6H 1K9","Dufferin Grove, 83",Wheelchair accessible - call for details,Mon-Fri 9 am-5 pm,,English ; Spanish and other languages may be available,,"Works with communities and schools to improve access to affordable and healthy food<br>
<br> 
<b>FoodLink Hotline 416-392-6655</b> -- Monday-Friday 10 am-4 pm * referral and counselling for those seeking information on food programs<br>
<br> 
<b>Baby and Toddler Nutrition</b> -- training and information on making healthy homemade baby food from fresh affordable food * <b>Power Soups</b> -- nutrient-dense soups available to shelters and drop-ins serving the homeless<br>
<br> 
<b>Community Kitchens/Community Gardens</b> -- information, training and resources * <b>Incubator Kitchen</b> -- fully equipped kitchen for community-based groups and small businesses that do not have access to a commercial kitchen -- fee * <b>Urban Agriculture</b> – growing food and communities, composting, beekeeping, school gardens * <b>Field to Table Catering</b> -- social enterprise specializing in healthy seasonal food -- fee<br>
<br>
<b>Field to Table Schools</b> -- food education for students * <b>Good Food Café</b> – healthy school cafeteria * <b>Toronto Partners for Student Nutrition</b> -- information on starting a program, support to over 800 existing programs * information on public education * advocacy on food issues * bulk produce sales to schools and community groups<br>
<br> 
<b>Good Food Box</b>, foodlink@foodshare.net -- fresh fruit and vegetables for individuals and families distributed weekly through community drop-offs -- fee * <b>Good Food Markets</b> -- includes <b>Mobile Good Food Market</b> and community organizations selling affordable fruits and vegetable",2015-01-15
3,Humewood House Association,(50) Non Profit ; (51) Registered Charity,416-651-5657,information@humewoodhouse.com,www.humewoodhouse.com,"40 Humewood Dr
Toronto, ON     M6C 2W4","Humewood-Cedarvale, 106",Not Accessible,Office -- Mon-Fri 9 am-4 pm,"Pregnant teens and young mothers 13-21 years who need support with housing, parenting, relationships, returning to school",English,Call Intake Counsellor,"<b>Counselling</b> -- individual and family counselling *  support groups * advocacy * information and referral * volunteer mentoring program<br>
<br>
<b>Food Bank</b> -- Monday-Friday 9 am-4 pm, by appointment only * clothing for infants and toddlers, household items<br>
<br>
<b>Education program</b> -- for residents and pregnant or parenting youth * high school classrooms on site * life skills * counselling * licensed infant centre * in partnership with Toronto District School Board<br>
<br>
<b>Residence</b> -- prenatal and postnatal services * individual and family counselling * life skills, parenting skills * capacity 16 (10 young mothers, 6 infants)<br>
<br> 
<b>Transitional and Supportive housing</b> -- apartments for young parents 16-19 years * 27 units * maximum stay 4 years * rent geared to income * support services * in partnership with Toronto Community Housing Corporation (see separate entry)",2014-08-11
4,North York Harvest Food Bank,(50) Non Profit ; (51) Registered Charity,416-635-7771,info@northyorkharvest.com,www.northyorkharvest.com,"116 Industry St
Toronto, ON     M6M 4L8","Beechborough-Greenbrook, 112",Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,Administration and warehouse -- Mon-Fri 9 am-4 pm,,English,Agencies network -- call 416-635-7771 ext 61 for referral or visit website,"Collects, sorts and distributes food to a network of neighbourhood food programs including food banks, shelters, prenatal programs, meal programs and community kitchens in northern Toronto * food bank and meal program referrals * community garden projects * pick-your-own farm trips * public education on hunger and poverty issues * professional development * volunteer opportunities<br><br>

<b>Lawrence Heights Community Food Bank</b>, <b>Bathurst-Finch Community Food Bank</b> and <b>Oriole Community Food Bank</b> -- see separate entries",2015-12-01
5,Yonge Street Mission,(50) Non Profit ; (51) Registered Charity,416-929-9614,evergreen@ysm.ca,www.ysm.ca,"381 Yonge St
Toronto, ON     M5B 1S1","Church-Yonge Corridor, 75","Wheelchair accessible washroom, assistance needed with door ; Wheelchair accessible main entrance and ground floor, assistance needed with door",Office -- Mon-Fri 9 am-5 pm * appointments only Mon-Fri 9 am-12 noon * meals and programs -- Mon-Fri 1 pm-5 pm *  Out of the Cold evening meal -- October to May (see separate entry),Street youth 16-24 years,English ; Portuguese ; Spanish,,Drop-in centre * hot meals * informal and formal counselling  * shower and laundry facilities * access to emergency clothing * referrals and advocacy * legal advice * ID clinic * other specialized programs,2014-02-13
6,YMCA of Greater Toronto,(50) Non Profit ; (51) Registered Charity,416-603-6366,,www.ymcagta.org,"Vanauley Street YMCA
7 Vanauley St
Toronto, ON     M5T 2V9","Kensington-Chinatown, 78",Wheelchair accessible automatic main entrance ; Easy access to elevator ; Barrier-free washroom including door and stall ; Street parking,Mon-Fri 9:30 am-5 pm * program hours vary -- call for details,Youth and young adults 16-24 years,English ; Interpreters may be available for other languages,Call or drop-in,"Drop-in * breakfast, lunch * substance abuse and gambling awareness programs * ID clinic * employment counselling * mental health counselling and crisis intervention * visiting nurse * housing support services",2016-02-04
7,Humewood House Association,(50) Non Profit ; (51) Registered Charity,647-349-0109,josie.dagostino@humewoodhouse.com,www.humewoodhouse.com,"1900 Sheppard Ave W
Toronto, ON     M3L 2G7","Glenfield-Jane Heights, 25",Wheelchair accessible - call for details,,"Pregnant teens and young mothers 13-21 years who need support with housing, parenting, relationships, returning to school",English,"Call or drop in * Food Bank -- call for appointment  * Transitional and Supportive Housing -- call Coordinator, email or visit website for information package and application form","Family resource centre * food bank and donations room * children's play area * parent and child programs * life skills * access to Internet and telephone * assistance with school, employment and child care * healthy cooking workshops * social and recreation activities<br>
<br>
<b>Food Bank</b> -- Monday-Friday 9 am-4 pm, by appointment only * clothing for infants and toddlers, household items<br>
<br>
<b>Transitional and Supportive Housing</b> -- apartments for young parents 16-19 years * 27 units * maximum stay 4 years * rent geared to income * support services * in partnership with Toronto Community Housing Corporation (see separate entry)
",2013-06-18
8,Out of the Cold. Meal Programs,(50) Non Profit ; (51) Registered Charity,416-929-9614,evergreen@ysm.ca,www.ysm.ca,"Evergreen Centre for Street Youth
381 Yonge St
Toronto, ON     M5B 1S1","Church-Yonge Corridor, 75","Wheelchair accessible main entrance and ground floor, assistance needed with door ; Barrier-free washroom","October 13, 2015 to May 19, 2016 -- Mon-Thu 5 pm-6 pm",<b>Youth 16-24 years only</b>,English,,Child care may be available to youth attending supper -- call for information,2015-10-16
9,Food Banks Canada,(50) Non Profit ; (51) Registered Charity,905-602-5234,info@foodbankscanada.ca,www.foodbankscanada.ca,"5025 Orbitor Dr, Bldg 2, Ste 400
Mississauga, ON     L4W 4Y5",,Unknown,Mon-Fri 8 am-4 pm,Food bank organizations only (one member per area),English ; French,Food bank organizations -- call or visit website * <b>no direct food provision to individuals</b>,"Represents food bank community across Canada * distributes food donations to food bank network through National Food Sharing System * conducts research on hunger, including annual <a href=""http://www.foodbankscanada.ca/Learn-About-Hunger/About-Hunger-in-Canada.aspx"">HungerCount</a> * works with affiliate food banks, provincial associations, corporations and government to solve Canada's hunger problem<br><br>

<a href=""http://www.foodbankscanada.ca/utility-pages/find-a-food-bank.aspx"">Find a Food Bank</a> -- national online searchable map of local food bank coordinating organizations * <b>no direct food provision to individuals</b> -- for local food banks and referral information in Toronto contact <a href=""http://www.dailybread.ca"">Daily Bread Food Bank</a> or <a href=""http://www.northyorkharvest.com"">North York Harvest Food Bank</a> (see separate entries)",2015-02-06
