,AgencyName,LegalStatus,OfficePhone,EMail,Website,Address,Neighbourhood,Accessibility,Hours,Eligibility,Languages,Application,DescriptionService,DateUpdated
0,Alcoholics Anonymous,(50) Non Profit ; (51) Registered Charity,Support Line 416-487-5591,office@aatoronto.org,www.aatoronto.org,"234 Eglinton Ave E, Ste 202
Toronto, ON     M4P 1K5","Mount Pleasant West, 104","Wheelchair accessible main entrance, assistance needed with door - office ; Barrier-free washroom - office ; Some program locations wheelchair accessible - call or email for information, or visit online directory",Mon-Fri 9 am-5 pm * after hours -- telephone answered by volunteers,Anyone with a desire to stop drinking,"English ; Meetings in other languages may be available - call or email for information, or visit online directory",Attend any open meeting * call or visit website for times and locations or for directory of local groups,Weekly group meetings Monday-Sunday,2015-03-18
1,Toronto Drug Treatment Court,(50) Non Profit,416-973-1314 ; Duty Counsel Office 416-594-9300,,www.tdtc.ca,"Old City Hall
60 Queen St W, Rm 115
Toronto, ON     M5H 2M4","Bay Street Corridor, 76",Barrier-free washroom including door and stall ; Wheelchair accessible automatic rear entrance - from Albert St ; Elevator with lowered control panel,Mon-Fri 8:30 am-4:30 pm,"Non-violent adult offenders who are dependent on cocaine, crack cocaine, heroin or other opiates, or methamphetamine, and have been charged with possession or trafficking of small quantities of crack, cocaine or heroin * may also be charged with minor property crimes or prostitution",English ; interpreters for other languages,"Forms available at court office, online and Duty Counsel office for application assistance * submit completed forms to court office or Crown Counsel, Rm 351","Court Diversion Program -- voluntary court-supervised outpatient drug addiction treatment with case management * graduates receive a non-custodial sentence rather than incarceration *  treatment is provided by the Centre for Addiction and Mental Health (CAMH) at 100 Stokes St, 3rd Fl. * other operating partners include Ontario Court of Justice, Legal Aid Ontario, Toronto Bail Program, additional government ministries and community agencies.",2015-06-15
2,Alpha House,(50) Non Profit ; (51) Registered Charity,416-469-1700,alphahouse@on.aibn.com,alphahouserecovery.ca,"647 Broadview Ave
Toronto, ON     M4K 2N9","North Riverdale, 68",Not Accessible,Office -- Mon-Fri 8:30 am-4:30 pm,Employable men 18 years and older who are alcohol or drug users committed to total abstinence * do not take clients on Methadone or Suboxen,English,"Primarily referrals from detoxification units * also physicians, probation officers, corporations and self referrals",Rehabilitation residence * capacity 18 * staffed 24 hours * self help group attendance mandatory * stay 3 months * support meetings/groups available for non-residents,2014-06-04
3,Bellwood Health Services,(50) Non Profit,416-495-0926,info@bellwood.ca,www.bellwood.ca,"1020 McNicoll Ave
Toronto, ON     M1W 2J6","Steeles, 116",Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,Mon-Sun 24 hours,"Women and men 19 years and older, with alcohol and/or drug addiction, problem gambling, eating disorders, sex addiction, or concurrent trauma and addiction",English,Contact Intake and Assessment * psychosocial interview and medical assessment,"Residential and outpatient addiction treatment, including individual, family and couples counselling",2014-10-15
4,Scarborough Hospital,(50) Non Profit,416-431-8135,,TSH.to,"1225 Kennedy Rd, Unit J
Toronto, ON     M1P 4Y1","Dorset Park, 126",Wheelchair accessible building including main entrance and barrier free washrooms,Mon-Fri 8:30 am-4:30 pm,Persons with severe and persistent mental illness,English,Physician or psychiatrist referral,Psychiatric outpatient program for adults experiencing severe persistent mental illness * assessment and treatment * medication clinics * needle exchange * substance abuse treatment * group and individual treatment,2016-01-05
5,Salvation Army,(50) Non Profit ; (51) Registered Charity,416-431-4379,caroline@salvationarmyhomestead.org,www.salvationarmyhomestead.org,"2085 Ellesmere Rd
Toronto, ON     M1H 2W6","Woburn, 137",Not Accessible,"Office -- Mon-Tue, Fri 9 am-5 pm; Wed-Thu 9:30 am-5:30 pm * program hours vary -- flexible, including days and early evenings","Women and men (including transgender clients) 18 years and older, who identify substance use problems, including clients stabilized on methadone/suboxone * priority to women with children",English,Self or agency referral * call for assessment interview,"Community based day treatment programs -- separate programs for women and men * 10 week program * comprehensive assessment and treatment planning * trauma informed care, counselling * group counselling * case management * addiction education and nicotine replacement therapy * life skills classes * relapse prevention classes * relapse prevention groups * aftercare program * strength-based perspective * spiritual care<br><br>

Supportive housing program * capacity 27",2016-01-05
6,William Osler Health Centre,(50) Non Profit ; (51) Registered Charity,416-494-2120 ext 7,,www.williamoslerhc.on.ca,"101 Humber College Blvd
Toronto, ON     M9V 1R8","West Humber-Clairville, 1",Wheelchair accessible building including main and emergency entrances * barrier free washrooms * designated parking,Mon-Sun 24 hours,,English ; interpretive services,,"Acute care hospital * inpatient and outpatient services * Ontario Breast Screening Program<br><br>
Cardiology * surgery and critical care * mental health and addictions * obstetrics and special care nursery * pediatric inpatient short stay unit * pediatric ambulatory clinics including asthma, diabetes, kidney and sickle cell anemia <br><br>
<a href="" http://www.williamoslerhc.on.ca/patients-and-families/connect-with-osler/find-a-family-doctor""> Family medicine</a> -- list of family physicians affiliated with William Osler Health Centre who are accepting new patients",2014-01-30
7,St Michael's Hospital,(50) Non Profit,Registered patients 416-864-3022 ; New patients intake 416-864-3076,sumac@smh.ca,www.stmichaelshospital.com,"73 Regent Park Blvd, 3rd Fl
Toronto, ON     M5A 2B7","Regent Park, 72",Wheelchair accessible main entrance,"Mon, Thu-Fri 9 am-5 pm, Tue-Wed 9 am-8 pm * doctor on call 24 hours",,English ; Interpretive services,By appointment,General family medicine * nursing * social work * HIV care * prenatal and postnatal care * family practice-based obstetrics * addictions * diet and nutrition * pharmacist,2015-09-24
8,Gamblers Anonymous,(50) Non Profit,GTA Help Line 416-366-7613,intergroup@GamblersAnonymousOntario.org,GamblersAnonymousOntario.org,,,Some locations wheelchair accessible,"Answering service Mon-Sun 24 hours * call, email or visit website for meeting times",,English,"Call, email or visit website for information * email intergroup@GamblersAnonymousToronto.org for Greater Toronto Area chapter","Regular group meetings for men and women who desire to stop gambling * <b>GamAnon</b> -- mutual aid and support for spouse, family or close friends of compulsive gamblers -- online <a href=""http://www.gam-anon.org/meeting-directory/canada-meeting-directory/ontario"">meeting schedule</a> available * meeting locations throughout Toronto",2015-09-30
9,Good Shepherd Ministries,(50) Non Profit ; (51) Registered Charity,416-869-3619,,www.goodshepherd.ca,"412 Queen St E
Toronto, ON     M5A 1T3","Regent Park, 72",Wheelchair accessible building including side entrance and barrier free washrooms,,Homeless and disadvantaged people,English,,"Services for the homeless and disadvantaged 
<br><br>
<b>Meal program</b> for persons who are homeless or disadvantaged Monday-Sunday 2-4 pm * <b>Drop-In Program</b> Monday-Sunday 9-11 am * coffee and snacks * <b>men's clothing</b> distributed 9-11 am, usually Monday-Friday -- call for details<br> <br> 

<b>Medical clinic</b> for persons who are homeless * Monday-Friday -- hours vary, call for details<br> <br> <b>Overnight shelter</b> for men 18 years and older * registration/intake Monday-Sunday 5:30-5:45 pm * capacity 91 * must vacate premises during the day * call for admission and discharge criteria<br> <br> 

<b>Housing workers/resettlement/crisis intervention counselling</b> -- Monday-Friday, by appointment only<br> <br> 

<b>AApricot (Addiction Assessment Psychotherapy Referral in Community of Toronto) program</b>, 416-869-3619 ext 238 -- assess, motivate and refer underserved substance users to appropriate services * Wednesdays 9 am-6 pm * operates in partnership with Fred Victor (see separate entry) and community physicians<br><br>

<b>CATCH (Co-ordinated Access to Care for the Homeless)</b> --for persons who are homeless and not connected to services, with or without mental health or addiction problems * referrals through Medical clinic -- call for details<br><br>

<b>DARE (Drug and Alcohol Recovery Enrichment) Program</b> -- for homeless adult men waiting to enter or who have completed a substance abuse rehabilitation program * referral by detox, rehabilitation centre or social service agency preferred * abstinence-based program<br> <br>

<b>Leave the Streets Behind</b>, 416-869-3619 ext 280 -- case management for homeless veterans * partnership with Veterans Affairs Canada<br><br>
 
<b>Pastoral Care Program</b> -- counselling and support to meet spiritual needs * Monday-Friday 9-5",2015-05-28
